# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
# 
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0006.dat
#       2th_deg             I 
  1.329388e+01    6.808599e+00
  1.337402e+01    6.732135e+00
  1.345416e+01    6.757676e+00
  1.353430e+01    6.513282e+00
  1.361444e+01    6.348366e+00
  1.369457e+01    6.282836e+00
  1.377471e+01    6.349192e+00
  1.385485e+01    6.353488e+00
  1.393499e+01    6.095256e+00
  1.401513e+01    6.134185e+00
  1.409527e+01    5.893294e+00
  1.417540e+01    5.988498e+00
  1.425554e+01    5.818350e+00
  1.433568e+01    5.729582e+00
  1.441582e+01    5.614757e+00
  1.449596e+01    5.943124e+00
  1.457610e+01    5.762702e+00
  1.465623e+01    5.870079e+00
  1.473637e+01    5.590675e+00
  1.481651e+01    5.707298e+00
  1.489665e+01    5.415643e+00
  1.497679e+01    5.442232e+00
  1.505692e+01    5.477662e+00
  1.513706e+01    5.550191e+00
  1.521720e+01    5.509878e+00
  1.529734e+01    5.358637e+00
  1.537748e+01    5.386092e+00
  1.545762e+01    5.441998e+00
  1.553775e+01    5.265072e+00
  1.561789e+01    5.431202e+00
  1.569803e+01    5.539786e+00
  1.577817e+01    5.314919e+00
  1.585831e+01    5.478858e+00
  1.593845e+01    5.474073e+00
  1.601858e+01    5.286282e+00
  1.609872e+01    5.167922e+00
  1.617886e+01    5.275983e+00
  1.625900e+01    5.323761e+00
  1.633914e+01    5.259905e+00
  1.641927e+01    5.138159e+00
  1.649941e+01    5.342023e+00
  1.657955e+01    5.390080e+00
  1.665969e+01    5.685689e+00
  1.673983e+01    5.935736e+00
  1.681997e+01    6.072780e+00
  1.690010e+01    6.198076e+00
  1.698024e+01    6.394761e+00
  1.706038e+01    6.773545e+00
  1.714052e+01    7.081893e+00
  1.722066e+01    7.574405e+00
  1.730079e+01    8.656028e+00
  1.738093e+01    1.151012e+01
  1.746107e+01    1.884331e+01
  1.754121e+01    3.172467e+01
  1.762135e+01    4.287489e+01
  1.770149e+01    4.013587e+01
  1.778162e+01    2.778798e+01
  1.786176e+01    1.585274e+01
  1.794190e+01    1.034869e+01
  1.802204e+01    8.329285e+00
  1.810218e+01    7.590962e+00
  1.818232e+01    6.564475e+00
  1.826245e+01    6.435878e+00
  1.834259e+01    6.044052e+00
  1.842273e+01    6.018010e+00
  1.850287e+01    5.641978e+00
  1.858301e+01    5.620242e+00
  1.866314e+01    5.594286e+00
  1.874328e+01    5.479835e+00
  1.882342e+01    5.383682e+00
  1.890356e+01    5.270880e+00
  1.898370e+01    5.128254e+00
  1.906384e+01    5.200557e+00
  1.914397e+01    5.086607e+00
  1.922411e+01    5.241156e+00
  1.930425e+01    5.356436e+00
  1.938439e+01    5.335759e+00
  1.946453e+01    5.457673e+00
  1.954466e+01    5.348398e+00
  1.962480e+01    5.561424e+00
  1.970494e+01    5.714004e+00
  1.978508e+01    5.607614e+00
  1.986522e+01    5.968445e+00
  1.994536e+01    6.499688e+00
  2.002549e+01    7.022442e+00
  2.010563e+01    7.870004e+00
  2.018577e+01    1.048309e+01
  2.026591e+01    1.472620e+01
  2.034605e+01    1.822102e+01
  2.042619e+01    1.835747e+01
  2.050632e+01    1.513079e+01
  2.058646e+01    1.052106e+01
  2.066660e+01    7.783838e+00
  2.074674e+01    6.360301e+00
  2.082688e+01    5.592487e+00
  2.090701e+01    5.273100e+00
  2.098715e+01    4.744379e+00
  2.106729e+01    4.772232e+00
  2.114743e+01    4.584319e+00
  2.122757e+01    4.593648e+00
  2.130771e+01    4.370716e+00
  2.138784e+01    4.477345e+00
  2.146798e+01    4.378375e+00
  2.154812e+01    4.128232e+00
  2.162826e+01    4.313104e+00
  2.170840e+01    4.255071e+00
  2.178854e+01    4.142724e+00
  2.186867e+01    4.261389e+00
  2.194881e+01    4.120176e+00
  2.202895e+01    4.136590e+00
  2.210909e+01    3.923398e+00
  2.218923e+01    3.994331e+00
  2.226936e+01    3.853884e+00
  2.234950e+01    3.762952e+00
  2.242964e+01    3.820222e+00
  2.250978e+01    3.956113e+00
  2.258992e+01    3.805205e+00
  2.267006e+01    3.773880e+00
  2.275019e+01    3.776937e+00
  2.283033e+01    3.807698e+00
  2.291047e+01    3.789357e+00
  2.299061e+01    3.761812e+00
  2.307075e+01    3.861363e+00
  2.315088e+01    3.789559e+00
  2.323102e+01    3.819710e+00
  2.331116e+01    3.752451e+00
  2.339130e+01    3.699641e+00
  2.347144e+01    3.764124e+00
  2.355158e+01    3.644760e+00
  2.363171e+01    3.660984e+00
  2.371185e+01    3.819003e+00
  2.379199e+01    3.529840e+00
  2.387213e+01    3.543235e+00
  2.395227e+01    3.692111e+00
  2.403241e+01    3.677807e+00
  2.411254e+01    3.575312e+00
  2.419268e+01    3.668052e+00
  2.427282e+01    3.679904e+00
  2.435296e+01    3.725412e+00
  2.443310e+01    3.483514e+00
  2.451323e+01    3.476349e+00
  2.459337e+01    3.544804e+00
  2.467351e+01    3.531816e+00
  2.475365e+01    3.414951e+00
  2.483379e+01    3.608935e+00
  2.491393e+01    3.335695e+00
  2.499406e+01    3.497022e+00
  2.507420e+01    3.478012e+00
  2.515434e+01    3.481915e+00
  2.523448e+01    3.395916e+00
  2.531462e+01    3.450350e+00
  2.539475e+01    3.318301e+00
  2.547489e+01    3.607539e+00
  2.555503e+01    3.457048e+00
  2.563517e+01    3.355612e+00
  2.571531e+01    3.438283e+00
  2.579545e+01    3.541373e+00
  2.587558e+01    3.425376e+00
  2.595572e+01    3.453490e+00
  2.603586e+01    3.449083e+00
  2.611600e+01    3.412302e+00
  2.619614e+01    3.501808e+00
  2.627628e+01    3.432623e+00
  2.635641e+01    3.283617e+00
