# == pyFAI calibration ==
# Distance Sample to Detector: 0.158963311583 m
# PONI: 1.062e-01, 8.212e-02 m
# Rotations: -0.004467 -0.004617 0.000000 rad
#
# == Fit2d calibration ==
# Distance Sample-beamCenter: 158.967 mm
# Center: x=481.577, y=613.006 pix
# Tilt: 0.368 deg  TiltPlanRot: -45.941 deg
#
# Detector Pilatus CdTe 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True
#    Detector has a dark current: False
#    detector has a flat field: False
#
# Wavelength: 7.10511159865e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> /home/diffmin/imagedata/221007_group1/unknown/unknown_0004.dat
#       2th_deg             I
  1.337402e+01    7.844620e+00
  1.345416e+01    7.924212e+00
  1.353430e+01    7.814626e+00
  1.361444e+01    7.712486e+00
  1.369457e+01    7.440178e+00
  1.377471e+01    7.280950e+00
  1.385485e+01    7.317446e+00
  1.393499e+01    7.327229e+00
  1.401513e+01    7.254400e+00
  1.409527e+01    7.047462e+00
  1.417540e+01    7.390322e+00
  1.425554e+01    6.984782e+00
  1.433568e+01    6.831276e+00
  1.441582e+01    6.944860e+00
  1.449596e+01    6.642238e+00
  1.457610e+01    6.806135e+00
  1.465623e+01    6.960920e+00
  1.473637e+01    6.761346e+00
  1.481651e+01    6.539490e+00
  1.489665e+01    6.382911e+00
  1.497679e+01    6.234364e+00
  1.505692e+01    6.510313e+00
  1.513706e+01    6.379575e+00
  1.521720e+01    6.213101e+00
  1.529734e+01    6.464311e+00
  1.537748e+01    6.183374e+00
  1.545762e+01    6.417609e+00
  1.553775e+01    6.175840e+00
  1.561789e+01    6.097050e+00
  1.569803e+01    6.060144e+00
  1.577817e+01    5.927651e+00
  1.585831e+01    5.990373e+00
  1.593845e+01    6.069815e+00
  1.601858e+01    5.949788e+00
  1.609872e+01    6.129246e+00
  1.617886e+01    5.972078e+00
  1.625900e+01    6.175425e+00
  1.633914e+01    6.079274e+00
  1.641927e+01    5.913502e+00
  1.649941e+01    6.036787e+00
  1.657955e+01    5.753296e+00
  1.665969e+01    5.629761e+00
  1.673983e+01    5.806686e+00
  1.681997e+01    5.688348e+00
  1.690010e+01    5.575706e+00
  1.698024e+01    5.731500e+00
  1.706038e+01    5.803662e+00
  1.714052e+01    5.516996e+00
  1.722066e+01    5.755926e+00
  1.730079e+01    5.686423e+00
  1.738093e+01    5.751074e+00
  1.746107e+01    5.720704e+00
  1.754121e+01    5.847596e+00
  1.762135e+01    5.647767e+00
  1.770149e+01    5.591398e+00
  1.778162e+01    5.587895e+00
  1.786176e+01    5.566068e+00
  1.794190e+01    5.532471e+00
  1.802204e+01    5.214032e+00
  1.810218e+01    5.439422e+00
  1.818232e+01    5.524940e+00
  1.826245e+01    5.458726e+00
  1.834259e+01    5.202446e+00
  1.842273e+01    5.366551e+00
  1.850287e+01    5.330967e+00
  1.858301e+01    5.337457e+00
  1.866314e+01    5.320128e+00
  1.874328e+01    5.168260e+00
  1.882342e+01    5.063673e+00
  1.890356e+01    5.197990e+00
  1.898370e+01    5.329371e+00
  1.906384e+01    5.248239e+00
  1.914397e+01    5.220998e+00
  1.922411e+01    5.177772e+00
  1.930425e+01    5.286080e+00
  1.938439e+01    5.250857e+00
  1.946453e+01    5.247295e+00
  1.954466e+01    5.336832e+00
  1.962480e+01    5.549819e+00
  1.970494e+01    5.407100e+00
  1.978508e+01    5.311014e+00
  1.986522e+01    5.607806e+00
  1.994536e+01    5.781210e+00
  2.002549e+01    6.123946e+00
  2.010563e+01    7.756677e+00
  2.018577e+01    1.226788e+01
  2.026591e+01    1.515177e+01
  2.034605e+01    1.567326e+01
  2.042619e+01    1.493837e+01
  2.050632e+01    1.113484e+01
  2.058646e+01    8.156295e+00
  2.066660e+01    6.068224e+00
  2.074674e+01    5.362953e+00
  2.082688e+01    5.287068e+00
  2.090701e+01    5.110081e+00
  2.098715e+01    4.912300e+00
  2.106729e+01    4.797116e+00
  2.114743e+01    4.918948e+00
  2.122757e+01    4.919557e+00
  2.130771e+01    4.940571e+00
  2.138784e+01    4.688243e+00
  2.146798e+01    4.709012e+00
  2.154812e+01    4.701739e+00
  2.162826e+01    4.615175e+00
  2.170840e+01    4.679764e+00
  2.178854e+01    4.629272e+00
  2.186867e+01    4.725353e+00
  2.194881e+01    4.509332e+00
  2.202895e+01    4.438316e+00
  2.210909e+01    4.601773e+00
  2.218923e+01    4.656575e+00
  2.226936e+01    4.584337e+00
  2.234950e+01    4.516468e+00
  2.242964e+01    4.381971e+00
  2.250978e+01    4.667110e+00
  2.258992e+01    4.514159e+00
  2.267006e+01    4.436546e+00
