1.0863-0.14706j,-0.73981+0.081296j,-0.010661+0.0017211j,0.24777-0.061136j,1e+07
0.99694+0.0085817j,-0.80318-0.011319j,-0.0001329+0.00043391j,0.3761-0.0031129j,1.0223e+07
0.99705-0.00044499j,-0.82023+0.0066968j,0.00048959-0.00017457j,0.37724-0.0046678j,1.045e+07
0.9946-0.0031466j,-0.81953-0.0042474j,-0.00084496+0.0003929j,0.39827+0.0027994j,1.0683e+07
0.9976+0.0096028j,-0.82599-0.018247j,0.00039437+5.438e-05j,0.39478+0.013169j,1.0921e+07
1.0078-0.020978j,-0.84064+0.021743j,0.0012504+0.00082394j,0.4065-0.002912j,1.1164e+07
0.98837+0.012994j,-0.83286-0.0088331j,-0.0003087-0.00035899j,0.40054+0.0098009j,1.1413e+07
0.97536+0.0092932j,-0.84727-0.00095778j,0.00032405+0.00081993j,0.41819-0.003775j,1.1667e+07
1.0153-0.013131j,-0.85545+0.013561j,0.00026845+0.0011986j,0.40331-1.0458e-05j,1.1927e+07
0.98919-0.0054986j,-0.85246+0.0032098j,0.00032567+0.00074991j,0.41392+0.010326j,1.2192e+07
0.99749-0.012148j,-0.8673+0.016141j,0.00058863-6.0626e-05j,0.42216+0.0099827j,1.2464e+07
0.99692-0.0077065j,-0.87861+0.014102j,0.00017572-0.0004338j,0.41525-0.00074658j,1.2741e+07
1.0081-0.0058088j,-0.88686+0.014713j,-0.00034917-0.00016232j,0.41441+0.0041386j,1.3025e+07
0.9974+0.011907j,-0.87854+0.005235j,-0.0005777+0.0024848j,0.42411+0.0021294j,1.3315e+07
1.0119-0.0077275j,-0.91188+0.016962j,8.5503e-05-0.00043066j,0.42595+0.0021634j,1.3612e+07
0.99838-0.0023127j,-0.89178+0.012266j,0.00021545-0.00096959j,0.43183-0.0012036j,1.3915e+07
1.0055-0.0041502j,-0.8939+0.0084388j,-0.00087876-0.00018682j,0.42742-0.0041599j,1.4225e+07
1.0017-0.0013908j,-0.89549+0.0091142j,-0.00017401+0.00010679j,0.43453+0.0026552j,1.4541e+07
1.0037+0.0022901j,-0.90954+0.0070049j,-0.00018147+7.4226e-05j,0.43658-0.0043251j,1.4865e+07
0.98571-0.0010401j,-0.88931+0.013088j,-6.4389e-05-0.00054706j,0.43078-0.0013627j,1.5196e+07
0.99599-0.00031065j,-0.908+0.011028j,-0.00053775+0.00043514j,0.43162+0.0099291j,1.5535e+07
1.0141-0.0064759j,-0.92412+0.015306j,-0.00092884+3.6917e-05j,0.43788-0.00077822j,1.5881e+07
1.0051+0.0033871j,-0.93109+0.0046016j,0.00030912+0.00041427j,0.44369-0.00023143j,1.6234e+07
1.0125-0.004675j,-0.92909+0.019124j,0.0010503+0.00088638j,0.43818-0.00019263j,1.6596e+07
0.99609+0.0036462j,-0.91807+0.015039j,-0.00015033-0.00053536j,0.4398+0.0042959j,1.6965e+07
1.0055+0.0035536j,-0.93199+0.0051787j,4.8746e-05+0.00024774j,0.44607-0.0027194j,1.7343e+07
0.99113+0.0075568j,-0.92415+0.0033235j,0.00014142+0.00059656j,0.44528+0.0049568j,1.7729e+07
0.99628+0.0017343j,-0.92764+0.0072555j,-0.00026702-0.00044376j,0.44107+0.00081089j,1.8124e+07
1.0067-0.00076278j,-0.93191+0.013936j,-0.00038437+0.00063579j,0.44253+0.0051289j,1.8528e+07
1.0043+0.0049729j,-0.93546+0.0040216j,0.00014904+0.00013711j,0.44952-0.0017688j,1.894e+07
1.0023+0.0021556j,-0.94557+0.0081131j,0.00024818-0.00036019j,0.45557-0.0040673j,1.9362e+07
0.99661+0.00071703j,-0.93742+0.011027j,-0.00073814+6.4007e-05j,0.45017-0.00060678j,1.9793e+07
1.0006-0.0070166j,-0.94565+0.0078263j,0.00069182+0.00050035j,0.45735+0.0070299j,2.0234e+07
0.99982-0.0022159j,-0.94778+0.0084688j,-0.00039022-0.00041206j,0.45488-0.00028221j,2.0685e+07
1.0009-0.0062689j,-0.94999+0.0089315j,0.00025267+0.00044002j,0.4554+0.0016516j,2.1145e+07
1.0067+0.0033846j,-0.95031+0.00050061j,-0.0003301+0.00054443j,0.4554+0.0011025j,2.1616e+07
0.99874-0.00048661j,-0.94758+0.0087336j,5.4727e-06+0.00029603j,0.45733-0.0029344j,2.2098e+07
0.99692+0.0010505j,-0.95257+0.0015556j,0.00023727+0.00026542j,0.45823-0.0036227j,2.259e+07
0.99908+3.7903e-05j,-0.94964+0.013958j,-0.00015561+9.0213e-05j,0.45591-0.0033673j,2.3093e+07
0.99614-0.0070265j,-0.94913+0.012241j,0.00028244-0.00027204j,0.45686-0.002525j,2.3607e+07
0.99961+0.0031855j,-0.95763+0.0047243j,0.00011007+0.00024057j,0.45987-0.0080113j,2.4133e+07
0.99985+0.001538j,-0.95619+0.007514j,0.00013247+0.00010595j,0.46341+0.0044211j,2.467e+07
1.0044-0.0037015j,-0.95757+0.0075309j,0.00034447+0.00036403j,0.46187-0.0012675j,2.522e+07
1.0001+0.0044904j,-0.95816+0.0061394j,-0.00025428-3.4732e-05j,0.45953-0.00028938j,2.5781e+07
0.99664-0.00045267j,-0.95659+0.0076885j,0.00014913+0.00020937j,0.45997+0.0013229j,2.6355e+07
