Wave;Sample;Dark;Reference
322.795;12.577;-1.446;0.000
322.963;-8.691;-3.644;0.000
323.130;-0.989;-3.981;0.000
323.298;3.136;-3.316;0.000
323.466;9.992;-7.704;0.000
323.633;-6.392;2.913;0.000
323.801;-0.563;5.467;0.000
323.968;2.837;-0.353;0.000
324.136;-4.811;0.639;0.000
324.303;-13.602;8.694;0.000
324.471;-2.880;-3.985;0.000
324.638;-14.828;-6.996;0.000
324.806;0.027;4.926;0.000
324.973;-8.303;-7.483;0.000
325.141;6.557;-2.529;0.000
325.308;3.118;0.287;0.000
325.476;8.817;10.983;0.000
325.643;6.769;-12.390;0.000
325.811;8.505;0.010;0.000
325.978;-3.548;-0.143;0.000
326.146;9.975;1.064;0.000
326.313;-4.006;-0.483;0.000
326.481;2.504;-3.936;0.000
326.648;7.874;-7.083;0.000
326.816;5.764;1.337;0.000
326.983;7.066;-7.459;0.000
327.151;2.065;-0.836;0.000
327.318;-1.880;-8.770;0.000
327.486;9.748;-5.263;0.000
327.653;4.083;-5.292;0.000
327.820;0.397;8.536;0.000
327.988;-5.232;-8.130;0.000
328.155;11.839;13.101;0.000
328.323;-11.404;-4.310;0.000
328.490;2.413;8.077;0.000
328.657;-6.282;9.465;0.000
328.825;6.661;5.899;0.000
328.992;-2.830;-1.557;0.000
329.159;-3.673;-0.680;0.000
329.327;-6.827;-2.216;0.000
329.494;7.291;5.003;0.000
329.662;-5.408;-16.770;0.000
329.829;8.695;-1.970;0.000
329.996;0.874;3.257;0.000
330.164;3.223;-9.057;0.000
330.331;-8.128;-5.023;0.000
330.498;1.573;1.882;0.000
330.666;-11.636;-9.037;0.000
330.833;-1.058;6.432;0.000
331.000;-2.832;-5.337;0.000
331.167;0.803;5.750;0.000
331.335;-7.620;-8.331;0.000
331.502;10.400;5.407;0.000
331.669;0.470;-2.453;0.000
331.837;8.362;11.393;0.000
332.004;0.169;-0.269;0.000
332.171;15.136;3.895;0.000
332.338;-4.953;-4.966;0.000
332.506;12.715;9.941;0.000
332.673;-9.443;-8.394;0.000
332.840;-1.583;8.202;0.000
333.007;1.016;-7.790;0.000
333.175;7.012;8.487;0.000
333.342;-5.727;-3.161;0.000
333.509;2.277;5.163;0.000
333.676;-8.408;-14.885;0.000
333.843;2.364;-2.954;0.000
334.011;2.240;-8.445;0.000
334.178;-1.425;-0.811;0.000
334.345;-0.988;-4.216;0.000
334.512;1.257;10.218;0.000
334.679;-5.443;2.023;0.000
334.847;7.362;6.447;0.000
335.014;-12.651;-0.939;0.000
335.181;10.362;-1.214;0.000
335.348;-4.110;-8.152;0.000
335.515;-5.477;-0.890;0.000
335.682;3.925;-4.317;0.000
335.849;1.417;-0.437;0.000
336.017;-5.690;-4.564;0.000
336.184;-1.654;0.658;0.000
336.351;-13.899;3.299;0.000
336.518;-4.689;3.711;0.000
336.685;-10.742;-10.056;0.000
336.852;8.296;6.345;0.000
337.019;-1.460;1.831;0.000
337.186;9.978;9.352;0.000
337.353;-3.477;-1.240;0.000
337.520;1.891;7.451;0.000
337.687;-6.583;-8.399;0.000
337.854;-5.460;11.654;0.000
338.022;-8.814;-13.981;0.000
338.189;3.134;1.445;0.000
338.356;2.733;-3.975;0.000
338.523;5.975;-3.504;0.000
338.690;1.434;-8.692;0.000
338.857;2.558;1.160;0.000
339.024;-11.285;-8.211;0.000
339.191;1.647;11.058;0.000
339.358;-4.953;-12.549;0.000
339.525;8.415;5.504;0.000
339.692;-10.128;-0.775;0.000
339.859;10.295;1.928;0.000
340.026;-13.725;-4.238;0.000
340.193;2.558;-1.455;0.000
340.360;-6.722;-3.630;0.000
340.527;22.592;8.299;0.000
340.694;0.787;-3.927;0.000
340.861;-3.164;3.569;0.000
341.027;-10.809;-6.661;0.000
341.194;2.628;0.626;0.000
341.361;7.700;-5.065;0.000
341.528;1.926;4.780;0.000
341.695;0.680;-6.070;0.000
341.862;10.749;6.848;0.000
342.029;-1.761;0.251;0.000
342.196;11.537;1.096;0.000
342.363;-6.600;2.484;0.000
342.530;-4.653;2.395;0.000
342.697;2.154;3.113;0.000
342.863;-3.462;2.913;0.000
343.030;-2.235;-1.780;0.000
343.197;9.996;8.382;0.000
343.364;-1.057;7.782;0.000
343.531;6.240;1.057;0.000
343.698;3.453;4.871;0.000
343.865;1.045;-1.801;0.000
344.031;-2.759;0.565;0.000
344.198;0.224;2.956;0.000
344.365;-4.672;-8.383;0.000
344.532;-7.479;-6.286;0.000
344.699;-6.093;-17.103;0.000
344.866;-3.091;13.311;0.000
345.032;-7.337;-11.539;0.000
345.199;16.645;8.649;0.000
345.366;-1.302;2.357;0.000
345.533;8.575;2.873;0.000
345.699;3.419;2.032;0.000
345.866;5.260;-7.600;0.000
346.033;-7.583;0.735;0.000
346.200;6.450;4.947;0.000
346.366;5.467;0.971;0.000
346.533;3.785;2.946;0.000
346.700;4.223;-2.958;0.000
346.867;-7.866;3.690;0.000
347.033;-0.914;-6.367;0.000
347.200;9.607;7.248;0.000
347.367;-3.265;3.616;0.000
347.534;5.905;14.604;0.000
347.700;-3.302;3.300;0.000
347.867;2.677;-6.251;0.000
348.034;-6.830;-4.829;0.000
348.200;-1.339;4.575;0.000
348.367;2.050;-6.459;0.000
348.534;12.152;-4.993;0.000
348.700;0.716;-2.839;0.000
348.867;-0.513;7.981;0.000
349.034;-4.410;-2.660;0.000
