Wavelength (nm);Intensity Source
487.645;6.665
488.006;6.763
488.366;6.689
488.726;6.616
489.087;6.909
489.447;6.836
489.807;6.812
490.167;6.860
490.527;6.909
490.888;6.958
491.248;6.885
491.608;6.738
491.968;7.080
492.328;6.909
492.688;6.860
493.047;6.934
493.407;6.714
493.767;7.056
494.127;7.227
494.487;7.080
494.846;7.129
495.206;6.958
495.566;6.982
495.925;7.202
496.285;7.251
496.644;7.373
497.004;7.129
497.363;7.349
497.723;7.349
498.082;7.349
498.441;7.520
498.800;7.495
499.160;7.324
499.519;7.446
499.878;7.593
500.237;7.324
500.596;7.446
500.955;7.617
501.314;7.690
501.673;7.544
502.032;7.617
502.391;7.642
502.750;7.617
503.109;7.837
503.468;7.764
503.826;7.666
504.185;7.715
504.544;7.959
504.903;8.032
505.261;8.350
505.620;8.447
505.978;8.472
506.337;8.154
506.695;8.423
507.054;8.545
507.412;8.716
507.770;8.350
508.129;8.960
508.487;8.887
508.845;9.009
509.203;9.326
509.561;9.375
509.919;9.302
510.278;9.277
510.636;9.448
510.994;9.399
511.352;9.595
511.709;9.668
512.067;9.888
512.425;9.839
512.783;9.937
513.141;10.034
513.498;10.327
513.856;10.229
514.214;10.352
514.571;11.035
514.929;11.084
515.287;10.986
515.644;10.938
516.001;11.328
516.359;11.597
516.716;11.206
517.074;11.353
517.431;12.109
517.788;11.523
518.145;12.158
518.503;12.915
518.860;13.208
519.217;12.842
519.574;13.062
519.931;13.208
520.288;13.281
520.645;14.014
521.002;14.355
521.359;14.429
521.715;15.601
522.072;15.186
522.429;16.699
522.786;16.968
523.142;16.919
523.499;16.479
523.856;18.677
524.212;19.287
524.569;20.117
524.925;26.611
525.282;52.319
525.638;81.836
525.995;74.243
526.351;60.645
526.707;51.709
527.063;43.457
527.420;40.356
527.776;39.966
528.132;38.354
528.488;39.746
528.844;44.409
529.200;55.444
529.556;65.210
529.912;85.181
530.268;99.976
530.624;99.976
530.980;99.976
531.335;99.976
531.691;99.976
532.047;99.976
532.403;99.976
532.758;99.976
533.114;99.976
533.469;99.976
533.825;99.976
534.180;99.976
534.536;99.976
534.891;99.976
535.247;85.718
535.602;40.430
535.957;35.913
536.312;32.129
536.668;28.564
537.023;23.682
537.378;22.192
537.733;20.190
538.088;18.579
538.443;19.604
538.798;17.578
539.153;16.968
539.508;15.894
539.863;15.039
540.217;14.648
540.572;13.525
540.927;13.794
541.282;14.087
541.636;13.525
541.991;13.232
542.345;14.233
542.700;12.744
543.054;11.963
543.409;12.598
543.763;12.695
544.118;12.256
544.472;11.157
544.826;10.742
545.180;11.230
545.535;11.084
545.889;10.791
546.243;10.571
546.597;10.034
546.951;10.278
547.305;10.010
547.659;9.961
548.013;10.376
548.367;9.375
548.721;9.155
549.075;8.936
549.428;9.131
549.782;8.984
550.136;9.058
550.489;8.545
550.843;8.594
551.197;8.325
551.550;8.276
551.904;8.203
552.257;8.325
552.611;8.179
552.964;8.057
553.317;7.812
553.671;8.179
554.024;7.812
554.377;7.715
554.730;7.715
555.083;7.373
555.436;7.397
555.789;7.397
556.143;7.324
556.495;7.227
556.848;7.031
557.201;7.031
557.554;6.982
557.907;7.080
558.260;6.689
558.612;6.934
558.965;6.860
559.318;6.812
559.670;6.885
560.023;6.934
560.376;6.689
560.728;6.665
561.080;6.421
561.433;6.445
561.785;6.543
562.138;6.299
562.490;6.567
562.842;6.396
563.194;6.323
563.546;6.299
563.899;6.323
564.251;6.030
564.603;6.177
564.955;6.201
565.307;6.030
565.659;6.128
566.011;6.152
566.362;6.055
566.714;5.981
567.066;6.079
567.418;5.957
567.769;5.981
568.121;5.933
568.473;5.981
568.824;5.957
569.176;5.859
569.527;5.566
569.879;5.713
570.230;5.786
570.581;5.786
570.933;5.542
571.284;5.835
571.635;5.859
571.986;5.811
572.337;5.640
572.689;5.859
573.040;5.688
573.391;5.786
573.742;5.688
574.093;5.518
574.444;5.713
574.794;5.664
575.145;5.518
575.496;5.518
575.847;5.566
576.197;5.396
576.548;5.591
576.899;5.444
577.249;5.444
577.600;5.518
577.950;5.591
578.301;5.396
578.651;5.542
579.002;5.371
579.352;5.371
579.702;5.542
580.052;5.420
580.403;5.298
580.753;5.371
581.103;5.249
581.453;5.444
581.803;5.322
582.153;5.298
582.503;5.273
582.853;5.176
583.203;5.469
583.553;5.298
583.903;5.298
584.252;5.103
584.602;5.347
584.952;5.273
585.301;5.371
585.651;5.273
586.000;5.127
586.350;5.225
586.699;5.176
587.049;5.298
587.398;5.273
587.748;5.249
588.097;5.200
588.446;5.200
588.795;5.225
589.145;5.200
589.494;5.200
589.843;5.225
590.192;5.298
590.541;5.249
590.890;5.273
591.239;5.298
591.588;5.029
591.936;5.225
592.285;5.176
592.634;5.029
592.983;5.103
593.331;5.078
593.680;5.249
594.029;5.078
594.377;5.151
594.726;5.200
595.074;5.078
595.423;5.078
595.771;5.103
596.119;5.103
596.468;5.249
596.816;5.176
597.164;5.151
597.512;5.103
597.860;5.029
598.208;5.200
598.557;5.078
598.905;5.078
599.252;5.127
599.600;5.103
599.948;4.956
600.296;5.127
600.644;5.103
600.992;5.298
601.339;5.005
601.687;5.127
602.035;5.005
602.382;5.200
602.730;5.078
603.077;4.956
603.425;4.980
603.772;5.103
604.120;4.980
604.467;5.127
604.814;5.005
605.161;5.054
605.509;5.029
605.856;5.103
606.203;5.029
606.550;5.054
606.897;5.103
607.244;5.103
607.591;5.005
607.938;4.932
608.285;5.029
608.632;4.761
608.978;4.980
609.325;5.054
609.672;5.103
610.019;4.932
610.365;5.005
610.712;4.932
611.058;4.980
611.405;4.956
611.751;5.005
612.098;5.103
612.444;4.907
612.790;4.980
613.137;4.858
613.483;5.005
613.829;5.054
614.175;4.956
614.521;4.980
614.867;4.907
615.213;4.956
615.559;4.834
615.905;4.858
616.251;4.834
616.597;5.005
616.943;4.932
617.288;4.858
617.634;4.980
617.980;4.980
618.326;5.005
618.671;4.883
619.017;4.907
619.362;4.956
619.708;5.151
