Time (s) Run #1	Temperature (°C) Run #1
0.000	23.5
0.500	23.5
1.000	23.5
1.500	23.5
2.000	23.5
2.500	23.5
3.000	23.5
3.500	23.5
4.000	23.5
4.500	23.5
5.000	23.5
5.500	23.5
6.000	23.5
6.500	23.5
7.000	23.5
7.500	23.5
8.000	23.5
8.500	23.5
9.000	23.5
9.500	23.5
10.000	23.5
10.500	23.5
11.000	23.6
11.500	23.6
12.000	23.6
12.500	23.7
13.000	23.8
13.500	23.9
14.000	24.0
14.500	24.1
15.000	24.1
15.500	24.2
16.000	24.2
16.500	24.3
17.000	24.3
17.500	24.5
18.000	24.6
18.500	24.8
19.000	24.9
19.500	25.0
20.000	25.1
20.500	25.2
21.000	25.3
21.500	25.4
22.000	25.4
22.500	25.5
23.000	25.5
23.500	25.5
24.000	25.5
24.500	25.6
25.000	25.6
25.500	25.6
26.000	25.6
26.500	25.6
27.000	25.6
27.500	25.7
28.000	25.7
28.500	25.7
29.000	25.7
29.500	25.7
30.000	25.7
30.500	25.7
31.000	25.7
31.500	25.7
32.000	25.7
32.500	25.7
33.000	25.7
33.500	25.7
34.000	25.7
34.500	25.7
35.000	25.7
35.500	25.7
36.000	25.7
36.500	25.7
37.000	25.7
37.500	25.7
38.000	25.7
38.500	25.7
39.000	25.7
39.500	25.7
40.000	25.7
40.500	25.7
41.000	25.7
41.500	25.7
42.000	25.7
42.500	25.7
43.000	25.7
43.500	25.7
44.000	25.7
44.500	25.7
45.000	25.7
45.500	25.7
46.000	25.7
46.500	25.7
47.000	25.7
47.500	25.7
48.000	25.7
48.500	25.7
49.000	25.7
49.500	25.7
50.000	25.7
50.500	25.7
51.000	25.7
51.500	25.7
52.000	25.7
52.500	25.7
53.000	25.7
53.500	25.7
54.000	25.7
54.500	25.7
55.000	25.7
55.500	25.7
56.000	25.7
56.500	25.7
57.000	25.7
57.500	25.7
58.000	25.7
58.500	25.7
59.000	25.7
59.500	25.7
60.000	25.7
60.500	25.7
61.000	25.7
61.500	25.7
62.000	25.7
62.500	25.7
63.000	25.7
63.500	25.7
64.000	25.7
64.500	25.7
65.000	25.7
65.500	25.7
66.000	25.7
66.500	25.7
67.000	25.7
67.500	25.7
68.000	25.7
68.500	25.7
69.000	25.6
69.500	25.7
70.000	25.6
70.500	25.7
71.000	25.6
71.500	25.6
72.000	25.6
72.500	25.6
73.000	25.6
73.500	25.6
74.000	25.6
74.500	25.6
75.000	25.6
75.500	25.6
76.000	25.6
76.500	25.6
77.000	25.6
77.500	25.6
78.000	25.6
78.500	25.6
79.000	25.6
79.500	25.6
80.000	25.6
80.500	25.6
81.000	25.6
81.500	25.6
82.000	25.6
82.500	25.6
83.000	25.6
83.500	25.6
84.000	25.6
84.500	25.6
85.000	25.6
85.500	25.6
86.000	25.6
86.500	25.6
87.000	25.6
87.500	25.6
88.000	25.6
88.500	25.6
89.000	25.6
89.500	25.6
90.000	25.6
90.500	25.6
91.000	25.6
91.500	25.6
92.000	25.6
92.500	25.6
93.000	25.6
93.500	25.6
94.000	25.6
94.500	25.6
95.000	25.6
95.500	25.6
96.000	25.6
96.500	25.6
97.000	25.6
97.500	25.6
98.000	25.6
98.500	25.6
99.000	25.6
99.500	25.6
100.000	25.6
100.500	25.6
101.000	25.6
101.500	25.6
102.000	25.6
102.500	25.6
103.000	25.6
103.500	25.6
104.000	25.6
104.500	25.6
105.000	25.6
105.500	25.6
106.000	25.6
106.500	25.6
107.000	25.6
107.500	25.6
108.000	25.6
108.500	25.6
109.000	25.6
109.500	25.6
110.000	25.6
110.500	25.6
111.000	25.6
111.500	25.6
112.000	25.6
112.500	25.6
113.000	25.6
113.500	25.6
114.000	25.6
114.500	25.6
115.000	25.6
115.500	25.6
116.000	25.6
116.500	25.6
117.000	25.6
