Frequency Magnitude
1779517766.49746 -13.4166584014893
1780355329.94924 -13.6175889968872
1781192893.40102 -13.8185195922852
1782030456.85279 -14.0194501876831
1782868020.30457 -14.2203807830811
1783705583.75635 -14.421311378479
1784543147.20812 -14.6301870346069
1785380710.6599 -14.853816986084
1786218274.11168 -15.077446937561
1787055837.56345 -15.3010768890381
1787893401.01523 -15.5247068405151
1788730964.46701 -15.7483367919922
1789568527.91878 -15.9704465866089
1790406091.37056 -16.1906223297119
1791243654.82234 -16.4107990264893
1792081218.27411 -16.630973815918
1792918781.72589 -16.8511505126953
1793756345.17767 -17.071325302124
1794593908.62944 -17.2904586791992
1795431472.08122 -17.5086688995361
1796269035.53299 -17.726879119873
1797106598.98477 -17.9450874328613
1797944162.43655 -18.1632976531982
1798781725.88832 -18.3815059661865
1799619289.3401 -18.575252532959
1800456852.79188 -18.7540054321289
1801294416.24365 -18.9327564239502
1802131979.69543 -19.1115093231201
1802969543.14721 -19.2902603149414
1803807106.59898 -19.4690132141113
1804644670.05076 -19.5881195068359
1805482233.50254 -19.6828651428223
1806319796.95431 -19.77760887146
1807157360.40609 -19.8723526000977
1807994923.85787 -19.967098236084
1808832487.30964 -20.0618419647217
1809670050.76142 -20.0837306976318
1810507614.2132 -20.08740234375
1811345177.66497 -20.0910758972168
1812182741.11675 -20.0947494506836
1813020304.56853 -20.0984210968018
1813857868.0203 -20.1020946502686
1814695431.47208 -20.0215873718262
1815532994.92386 -19.9306755065918
1816370558.37563 -19.8397636413574
1817208121.82741 -19.748851776123
1818045685.27919 -19.65793800354
1818883248.73096 -19.5670261383057
1819720812.18274 -19.4243392944336
1820558375.63452 -19.2805938720703
1821395939.08629 -19.136848449707
1822233502.53807 -18.9931049346924
1823071065.98985 -18.8493595123291
1823908629.44162 -18.7032928466797
1824746192.8934 -18.5263729095459
1825583756.34518 -18.3494529724121
1826421319.79695 -18.1725311279297
1827258883.24873 -17.9956111907959
1828096446.70051 -17.8186912536621
1828934010.15228 -17.6406288146973
1829771573.60406 -17.4565734863281
1830609137.05584 -17.2725162506104
1831446700.50761 -17.0884609222412
1832284263.95939 -16.9044036865234
1833121827.41117 -16.7203483581543
1833959390.86294 -16.5379257202148
1834796954.31472 -16.3604068756104
1835634517.7665 -16.1828880310059
1836472081.21827 -16.00537109375
1837309644.67005 -15.8278512954712
