Wavelength (nm);Absorbance Solution;Transmittance Solution
441.129;0.357;43.941
441.501;0.351;44.579
441.872;0.346;45.095
442.243;0.312;48.802
442.614;3.000;0.100
442.985;3.000;0.100
443.356;0.241;57.357
443.727;0.166;68.176
444.098;0.117;76.446
444.468;0.134;73.409
444.839;0.173;67.167
445.210;0.204;62.589
445.581;0.168;67.965
445.951;0.226;59.459
446.322;0.283;52.060
446.692;0.354;44.278
447.063;0.385;41.207
447.433;0.283;52.146
447.804;0.285;51.907
448.174;0.257;55.328
448.545;0.197;63.553
448.915;0.169;67.827
449.285;0.130;74.173
449.655;0.129;74.292
450.026;0.191;64.484
450.396;0.265;54.292
450.766;0.206;62.262
451.136;0.136;73.086
451.506;0.184;65.532
451.876;0.191;64.352
452.246;0.335;46.232
452.616;0.268;53.962
452.985;0.150;70.819
453.355;0.215;60.975
453.725;0.220;60.300
454.095;0.262;54.682
454.464;0.257;55.381
454.834;0.238;57.760
455.204;0.223;59.778
455.573;0.132;73.769
455.943;0.108;78.032
456.312;0.144;71.717
456.681;0.202;62.737
457.051;0.191;64.466
457.420;0.214;61.036
457.789;0.170;67.585
458.159;0.195;63.844
458.528;0.175;66.816
458.897;0.068;85.478
459.266;0.154;70.152
459.635;0.166;68.274
460.004;0.168;67.847
460.373;0.180;66.126
460.742;0.177;66.554
461.111;0.145;71.684
461.480;0.109;77.876
461.849;0.105;78.611
462.217;0.163;68.771
462.586;0.195;63.865
462.955;0.155;70.028
463.323;0.162;68.883
463.692;0.178;66.308
464.060;0.182;65.782
464.429;0.124;75.112
464.797;0.100;79.491
465.166;0.131;74.033
465.534;0.139;72.660
465.903;0.177;66.599
466.271;0.168;67.984
466.639;0.049;89.327
467.007;0.096;80.219
467.375;0.122;75.534
467.744;0.115;76.780
468.112;0.136;73.138
468.480;0.168;67.867
468.848;0.135;73.281
469.216;0.137;72.889
469.583;0.119;76.113
469.951;0.189;64.766
470.319;0.189;64.766
470.687;0.111;77.492
471.055;0.148;71.119
471.422;0.093;80.740
471.790;0.152;70.533
472.157;0.164;68.628
472.525;0.152;70.393
472.892;0.145;71.617
473.260;0.133;73.578
473.627;0.084;82.452
473.995;0.089;81.544
474.362;0.105;78.538
474.729;0.120;75.902
475.097;0.100;79.343
475.464;0.169;67.712
475.831;0.137;72.951
476.198;0.161;69.055
476.565;0.121;75.750
476.932;0.113;77.165
477.299;0.075;84.134
477.666;0.083;82.511
478.033;0.099;79.688
478.400;0.121;75.615
478.767;0.101;79.230
479.133;0.124;75.245
479.500;0.092;80.900
479.867;0.060;87.091
480.233;0.086;82.027
480.600;0.052;88.625
480.966;0.090;81.197
481.333;0.095;80.309
481.699;0.111;77.467
482.066;0.147;71.287
482.432;0.131;73.943
482.798;0.110;77.547
483.165;0.099;79.624
483.531;0.085;82.157
483.897;0.094;80.535
484.263;0.135;73.243
484.629;0.089;81.535
484.996;0.080;83.107
485.362;0.106;78.270
485.727;0.064;86.207
486.093;0.105;78.611
486.459;0.104;78.754
486.825;0.095;80.404
487.191;0.102;79.127
487.557;0.110;77.547
487.922;0.108;78.056
488.288;0.063;86.460
488.654;0.035;92.175
489.019;0.058;87.473
489.385;0.108;78.073
489.750;0.046;89.877
490.116;0.054;88.235
490.481;0.084;82.496
490.846;0.057;87.767
491.212;0.042;90.763
491.577;0.075;84.075
491.942;0.035;92.173
492.307;0.037;91.820
492.673;0.067;85.764
493.038;0.081;82.967
493.403;0.087;81.934
493.768;0.113;77.054
494.133;0.081;82.903
494.498;0.047;89.657
494.862;0.042;90.794
495.227;0.081;82.898
495.592;0.090;81.243
495.957;0.048;89.507
496.322;0.049;89.229
496.686;0.055;88.187
497.051;0.072;84.741
497.415;0.039;91.409
497.780;0.099;79.641
498.144;0.068;85.572
498.509;0.085;82.209
498.873;0.049;89.340
499.238;0.058;87.534
499.602;0.065;86.067
499.966;0.086;82.060
500.330;0.072;84.725
