Wavelength (nm);Intensity Source
490.481;4.199
490.846;4.224
491.212;4.297
491.577;4.370
491.942;4.370
492.307;4.370
492.673;4.272
493.038;4.272
493.403;4.297
493.768;4.224
494.133;4.175
494.498;4.224
494.862;4.297
495.227;4.224
495.592;4.199
495.957;4.126
496.322;4.028
496.686;4.004
497.051;4.102
497.415;4.248
497.780;4.297
498.144;4.272
498.509;4.321
498.873;4.272
499.238;4.224
499.602;4.272
499.966;4.199
500.330;4.126
500.694;4.199
501.059;4.272
501.423;4.370
501.787;4.395
502.151;4.346
502.515;4.272
502.879;4.248
503.242;4.297
503.606;4.248
503.970;4.272
504.334;4.346
504.697;4.370
505.061;4.370
505.425;4.346
505.788;4.321
506.152;4.443
506.515;4.443
506.878;4.321
507.242;4.272
507.605;4.248
507.968;4.248
508.332;4.346
508.695;4.395
509.058;4.370
509.421;4.346
509.784;4.395
510.147;4.395
510.510;4.492
510.873;4.492
511.236;4.370
511.599;4.370
511.962;4.395
512.324;4.395
512.687;4.321
513.050;4.224
513.412;4.175
513.775;4.297
514.137;4.419
514.500;4.419
514.862;4.346
515.225;4.297
515.587;4.346
515.949;4.419
516.312;4.517
516.674;4.541
517.036;4.468
517.398;4.443
517.760;4.370
518.122;4.370
518.484;4.321
518.846;4.248
519.208;4.321
519.570;4.395
519.932;4.395
520.293;4.370
520.655;4.395
521.017;4.395
521.379;4.419
521.740;4.346
522.102;4.297
522.463;4.346
522.825;4.419
523.186;4.517
523.547;4.443
523.909;4.395
524.270;4.297
524.631;4.272
524.992;4.541
525.353;4.639
525.715;4.687
526.076;4.590
526.437;4.443
526.798;4.443
527.159;4.419
527.519;4.517
527.880;4.541
528.241;4.492
528.602;4.443
528.962;4.541
529.323;4.541
529.684;4.419
530.044;4.321
530.405;4.224
530.765;4.224
531.126;4.248
531.486;4.224
531.846;4.248
532.207;4.517
532.567;4.614
532.927;4.443
533.287;4.346
533.647;4.346
534.007;4.370
534.367;4.395
534.727;4.321
535.087;4.297
535.447;4.321
535.807;4.395
536.167;4.492
536.526;4.517
536.886;4.370
537.246;4.297
537.605;4.297
537.965;4.370
538.324;4.419
538.684;4.395
539.043;4.395
539.403;4.443
539.762;4.419
540.121;4.590
540.481;4.639
540.840;4.541
541.199;4.492
541.558;4.468
541.917;4.419
542.276;4.468
542.635;4.517
542.994;4.468
543.353;4.370
543.712;4.370
544.071;4.419
544.429;4.419
544.788;4.443
545.147;4.443
545.505;4.443
545.864;4.614
546.222;4.761
546.581;4.736
546.939;4.687
547.298;4.712
547.656;4.687
548.014;4.639
548.373;4.517
548.731;4.346
549.089;4.492
549.447;4.541
549.805;4.565
550.163;4.639
550.521;4.761
550.879;4.736
551.237;4.687
551.595;4.810
551.953;4.858
552.310;4.712
552.668;4.639
553.026;4.712
553.383;4.663
553.741;5.371
554.098;5.298
554.456;4.785
554.813;4.834
555.171;5.029
555.528;4.932
555.885;4.810
556.242;4.663
556.600;4.614
556.957;4.663
557.314;4.736
557.671;4.858
558.028;4.956
558.385;5.029
558.742;4.980
559.099;4.834
559.456;4.883
559.812;4.883
560.169;4.980
560.526;5.005
560.883;5.103
561.239;5.029
561.596;5.054
561.952;4.980
562.309;4.810
562.665;4.810
563.021;4.858
563.378;4.932
563.734;5.005
564.090;5.103
564.447;5.249
564.803;5.420
565.159;5.396
565.515;5.493
565.871;5.469
566.227;5.542
566.583;5.444
566.939;5.444
567.294;5.542
567.650;5.737
568.006;8.203
568.362;6.543
568.717;6.128
569.073;6.104
569.428;6.152
569.784;6.372
570.139;6.274
570.495;6.250
570.850;6.421
571.205;6.641
571.561;6.641
571.916;6.909
572.271;6.958
572.626;7.129
572.981;7.202
573.336;7.275
573.691;7.617
574.046;7.520
574.401;7.788
574.756;8.008
575.111;8.301
575.466;8.374
575.820;8.594
576.175;9.009
576.530;9.277
576.884;9.375
577.239;9.814
577.593;9.863
577.948;10.059
578.302;10.376
578.656;10.669
579.011;11.255
579.365;11.304
579.719;12.207
580.073;11.816
580.428;12.720
580.782;13.184
581.136;13.696
581.490;13.843
581.844;14.453
582.197;14.990
582.551;15.381
582.905;16.138
583.259;16.699
583.613;16.455
583.966;18.018
584.320;18.628
584.673;18.921
585.027;19.849
585.380;20.752
585.734;20.972
586.087;21.802
586.440;22.681
586.794;23.730
587.147;24.536
587.500;24.927
587.853;25.684
588.206;26.978
588.559;27.856
588.913;28.735
589.265;29.077
589.618;30.518
589.971;31.470
590.324;33.374
590.677;33.423
591.030;34.814
591.382;36.597
591.735;37.378
592.087;37.842
592.440;40.088
592.792;41.064
593.145;42.480
593.497;43.823
593.850;44.824
594.202;47.119
594.554;47.583
594.906;48.950
595.259;50.098
595.611;51.440
595.963;52.710
596.315;53.931
596.667;55.542
597.019;56.299
597.371;57.642
597.723;59.448
598.074;60.425
598.426;61.865
598.778;63.281
599.129;63.623
599.481;64.551
599.833;64.941
600.184;67.090
600.536;67.065
600.887;68.896
601.238;70.117
601.590;70.972
601.941;69.849
602.292;71.118
602.643;72.339
602.994;72.607
603.346;73.657
603.697;73.755
604.048;74.365
604.399;75.146
604.749;73.828
605.100;74.219
605.451;73.120
605.802;72.290
606.153;70.972
606.503;72.095
606.854;73.047
607.204;71.460
607.555;70.361
607.905;69.556
608.256;69.556
608.606;69.946
608.957;69.116
609.307;67.236
609.657;66.479
610.007;65.479
610.358;64.697
610.708;62.598
611.058;61.841
611.408;61.304
611.758;59.595
612.108;58.350
612.457;57.251
612.807;57.202
613.157;55.786
613.507;54.248
613.856;52.417
614.206;51.172
614.556;50.610
614.905;48.975
615.255;48.022
615.604;47.559
615.954;45.825
616.303;44.458
616.652;43.286
617.001;41.919
617.351;40.625
617.700;39.307
618.049;37.671
618.398;36.768
618.747;36.157
619.096;34.888
619.445;34.326
619.794;33.789
620.143;32.495
620.491;31.885
620.840;30.005
621.189;29.346
621.537;28.882
621.886;26.636
622.235;27.368
622.583;26.855
622.932;25.220
623.280;24.585
623.628;23.828
623.977;22.974
624.325;22.144
624.673;21.606
625.021;20.654
625.369;20.361
625.717;19.092
626.065;19.189
626.413;18.604
626.761;17.871
627.109;17.212
627.457;16.846
627.805;16.553
628.153;15.503
628.500;15.137
628.848;14.697
629.196;14.258
629.543;14.209
629.891;13.745
630.238;12.964
630.585;12.549
630.933;12.500
631.280;11.743
631.627;11.865
631.975;11.084
632.322;10.693
632.669;10.547
633.016;11.035
633.363;10.181
633.710;10.107
634.057;9.937
634.404;9.521
634.751;9.155
635.097;8.862
635.444;8.521
635.791;9.058
636.137;8.447
636.484;8.057
636.831;8.032
637.177;7.837
637.524;7.568
637.870;7.715
638.216;7.837
638.563;7.422
638.909;7.324
639.255;7.275
639.601;7.007
639.947;6.567
640.293;7.007
640.639;6.616
640.985;6.567
641.331;6.348
641.677;6.348
642.023;6.226
642.369;6.177
642.715;6.055
643.060;5.957
643.406;6.030
643.751;5.811
644.097;5.713
644.442;5.664
644.788;5.737
645.133;5.640
645.479;5.444
645.824;5.469
646.169;5.420
646.514;5.347
646.860;5.249
647.205;5.298
647.550;5.273
647.895;5.151
648.240;5.176
648.585;5.200
648.930;5.103
649.274;5.078
649.619;4.956
649.964;5.005
650.309;4.980
650.653;4.810
650.998;4.736
651.342;4.736
651.687;4.663
652.031;4.590
652.376;4.590
652.720;4.565
653.064;4.590
653.408;4.761
653.753;4.712
654.097;4.541
654.441;4.590
654.785;4.712
655.129;4.907
655.473;4.834
655.817;4.639
656.161;4.517
656.504;4.468
656.848;4.590
657.192;4.614
657.536;4.565
657.879;4.492
658.223;4.517
658.566;4.443
658.910;4.443
659.253;4.419
659.597;4.297
659.940;4.297
660.283;4.248
660.626;4.199
660.970;4.297
661.313;4.297
661.656;4.297
661.999;4.370
662.342;4.321
662.685;4.321
663.028;4.248
663.370;4.224
663.713;4.248
664.056;4.297
664.399;4.297
664.741;4.224
665.084;4.224
665.426;4.224
665.769;4.248
666.111;4.321
666.454;4.443
666.796;4.468
667.138;4.419
667.481;4.517
667.823;4.492
668.165;4.370
668.507;4.297
668.849;4.272
669.191;4.272
669.533;4.248
669.875;4.199
670.217;4.175
670.559;4.175
670.901;4.150
671.242;4.199
671.584;4.346
671.926;4.370
672.267;4.224
672.609;4.126
672.950;4.272
673.292;4.346
673.633;4.346
673.974;4.370
674.316;4.272
674.657;4.224
674.998;4.199
675.339;4.248
675.680;4.297
676.021;4.321
676.362;4.395
676.703;4.297
677.044;4.175
677.385;4.126
677.726;4.150
678.067;4.199
678.407;4.224
678.748;4.224
679.088;4.248
679.429;4.346
679.770;4.297
680.110;4.224
680.450;4.248
680.791;4.199
681.131;4.199
681.471;4.248
681.811;4.272
682.152;4.224
682.492;4.150
682.832;4.126
683.172;4.224
683.512;4.248
683.852;4.175
684.192;4.248
684.531;4.321
684.871;4.321
685.211;4.297
685.551;4.224
685.890;4.150
686.230;4.175
686.569;4.248
686.909;4.297
687.248;4.321
687.588;4.419
687.927;4.419
688.266;4.297
688.605;4.248
688.945;4.199
689.284;4.224
689.623;4.199
689.962;4.272
690.301;4.395
690.640;4.370
690.979;4.321
691.317;4.224
691.656;4.126
691.995;4.126
692.334;4.199
692.672;4.346
693.011;4.321
693.349;4.248
693.688;4.224
694.026;4.175
694.365;4.053
694.703;3.979
695.041;4.004
695.379;4.053
695.718;4.126
696.056;4.126
696.394;4.346
696.732;4.541
697.070;4.346
697.408;4.175
697.746;4.102
698.084;4.199
698.421;4.248
698.759;4.199
699.097;4.199
699.435;4.224
699.772;4.175
700.110;4.053
700.447;3.955
700.785;3.979
701.122;4.028
701.459;4.077
701.797;4.077
702.134;4.126
702.471;4.077
702.808;4.028
703.145;4.028
703.482;4.028
703.819;4.077
704.156;4.053
704.493;4.004
704.830;4.028
705.167;4.077
705.504;4.102
705.840;4.175
706.177;4.272
706.514;4.346
706.850;4.321
707.187;4.297
707.523;4.248
707.860;4.272
708.196;4.248
708.532;4.199
708.868;4.175
709.205;4.224
709.541;4.248
709.877;4.272
710.213;4.199
710.549;4.150
710.885;4.150
711.221;4.175
711.557;4.175
711.893;4.126
712.228;4.077
712.564;4.248
712.900;4.590
713.235;4.443
713.571;4.248
713.906;4.224
714.242;4.150
714.577;4.175
714.913;4.199
715.248;4.150
715.583;4.150
715.918;4.175
716.254;4.102
716.589;4.102
716.924;4.150
717.259;4.175
717.594;4.126
717.929;4.102
718.263;4.126
718.598;4.150
718.933;4.199
719.268;4.150
719.602;4.102
719.937;4.077
720.272;4.077
720.606;4.077
720.941;4.102
721.275;4.077
721.609;4.077
721.944;4.102
722.278;4.199
722.612;4.395
722.946;4.370
723.280;4.248
723.614;4.224
723.948;4.224
724.282;4.590
724.616;4.687
724.950;4.517
725.284;4.492
725.618;4.419
725.951;4.468
726.285;4.370
726.619;4.346
726.952;4.443
727.286;4.419
727.619;4.419
727.953;4.370
728.286;4.395
728.619;4.370
728.953;4.321
729.286;4.346
729.619;4.272
729.952;4.224
730.285;4.199
730.618;4.224
730.951;4.199
731.284;4.150
731.617;4.102
731.950;4.126
732.282;4.272
732.615;4.370
732.948;4.321
733.280;4.370
733.613;4.395
733.945;4.248
734.278;4.248
734.610;4.272
734.942;4.199
735.275;4.199
735.607;4.224
735.939;4.175
736.271;4.077
736.603;4.126
736.936;4.175
737.268;4.297
737.599;4.297
737.931;4.224
738.263;4.199
738.595;4.272
738.927;4.395
739.258;4.443
739.590;4.321
739.922;4.321
740.253;4.517
740.585;5.176
740.916;4.907
741.248;4.590
741.579;4.492
741.910;4.297
742.241;4.175
742.573;4.150
742.904;4.199
743.235;4.370
743.566;4.370
743.897;4.248
744.228;4.224
744.559;4.126
744.889;4.077
745.220;4.077
745.551;4.028
745.882;4.028
746.212;4.077
746.543;4.126
746.873;4.175
747.204;4.199
747.534;4.224
747.865;4.199
748.195;4.126
748.525;4.102
748.855;4.077
749.186;4.028
749.516;4.028
749.846;4.150
750.176;4.126
750.506;4.077
750.836;4.150
751.166;4.199
751.495;4.175
751.825;4.102
752.155;4.028
752.484;4.175
752.814;4.321
753.144;4.248
753.473;4.199
753.803;4.175
754.132;4.175
754.461;4.150
754.791;4.248
755.120;4.248
755.449;4.175
755.778;4.126
756.107;4.077
756.436;4.248
756.765;4.321
757.094;4.248
757.423;4.272
757.752;4.272
758.081;4.199
758.410;4.150
758.738;4.150
