Wavelength (nm);Intensity Source
490.481;4.346
490.846;4.297
491.212;4.395
491.577;4.468
491.942;4.419
492.307;4.419
492.673;4.419
493.038;4.419
493.403;4.468
493.768;4.517
494.133;4.517
494.498;4.492
494.862;4.419
495.227;4.468
495.592;4.492
495.957;4.395
496.322;4.370
496.686;4.492
497.051;4.639
497.415;4.687
497.780;4.736
498.144;4.736
498.509;4.663
498.873;4.639
499.238;4.614
499.602;4.736
499.966;4.712
500.330;4.736
500.694;4.712
501.059;4.712
501.423;4.858
501.787;4.883
502.151;4.932
502.515;4.956
502.879;5.005
503.242;5.054
503.606;5.225
503.970;5.054
504.334;5.151
504.697;5.151
505.061;5.029
505.425;5.127
505.788;5.200
506.152;5.273
506.515;5.469
506.878;5.347
507.242;5.444
507.605;5.518
507.968;5.688
508.332;5.811
508.695;5.786
509.058;5.859
509.421;5.908
509.784;5.908
510.147;6.030
510.510;6.396
510.873;6.323
511.236;6.299
511.599;6.519
511.962;6.592
512.324;6.616
512.687;6.738
513.050;6.860
513.412;7.080
513.775;7.446
514.137;7.300
514.500;7.544
514.862;7.715
515.225;7.983
515.587;8.081
515.949;8.545
516.312;8.545
516.674;8.789
517.036;9.375
517.398;9.644
517.760;9.741
518.122;10.205
518.484;10.327
518.846;10.840
519.208;10.840
519.570;11.035
519.932;11.572
520.293;12.256
520.655;12.036
521.017;13.232
521.379;13.232
521.740;13.770
522.102;14.624
522.463;14.648
522.825;15.479
523.186;15.967
523.547;16.187
523.909;16.724
524.270;18.091
524.631;18.848
524.992;19.189
525.353;20.068
525.715;21.118
526.076;21.021
526.437;21.460
526.798;22.632
527.159;22.998
527.519;24.707
527.880;25.537
528.241;26.147
528.602;26.709
528.962;27.808
529.323;29.541
529.684;30.151
530.044;30.542
530.405;31.104
530.765;32.690
531.126;33.594
531.486;34.717
531.846;36.572
532.207;37.402
532.567;38.257
532.927;39.185
533.287;40.845
533.647;40.527
534.007;42.529
534.367;42.896
534.727;44.971
535.087;46.094
535.447;47.217
535.807;48.218
536.167;48.926
536.526;49.536
536.886;49.878
537.246;51.318
537.605;52.661
537.965;53.076
538.324;54.370
538.684;55.176
539.043;56.274
539.403;56.372
539.762;57.129
540.121;58.862
540.481;59.106
540.840;58.862
541.199;59.668
541.558;61.279
541.917;60.376
542.276;60.767
542.635;61.548
542.994;62.109
543.353;60.522
543.712;61.743
544.071;61.450
544.429;62.231
544.788;61.279
545.147;61.377
545.505;61.621
545.864;60.889
546.222;60.864
546.581;61.133
546.939;60.376
547.298;58.862
547.656;58.618
548.014;57.764
548.373;57.861
548.731;55.176
549.089;56.519
549.447;55.054
549.805;54.272
550.163;53.418
550.521;52.197
550.879;51.685
551.237;50.244
551.595;49.976
551.953;48.901
552.310;46.704
552.668;45.361
553.026;45.264
553.383;44.141
553.741;44.360
554.098;42.285
554.456;40.552
554.813;40.381
555.171;39.160
555.528;38.477
555.885;37.549
556.242;36.230
556.600;35.132
556.957;34.521
557.314;33.398
557.671;32.544
558.028;31.714
558.385;31.226
558.742;29.736
559.099;29.199
559.456;27.515
559.812;26.855
560.169;25.830
560.526;25.781
560.883;24.902
561.239;23.633
561.596;22.949
561.952;22.021
562.309;21.509
562.665;20.825
563.021;19.678
563.378;19.287
563.734;19.092
564.090;18.286
564.447;17.627
564.803;17.627
565.159;16.772
565.515;15.918
565.871;15.186
566.227;15.088
566.583;14.355
566.939;13.892
567.294;14.282
567.650;13.428
568.006;13.647
568.362;12.451
568.717;12.036
569.073;11.328
569.428;10.889
569.784;10.742
570.139;10.498
570.495;10.156
570.850;9.863
571.205;9.961
571.561;9.253
571.916;9.058
572.271;9.131
572.626;8.667
572.981;8.789
573.336;8.301
573.691;8.423
574.046;7.837
574.401;7.812
574.756;7.739
575.111;7.422
575.466;7.178
575.820;6.934
576.175;6.934
576.530;7.007
576.884;6.689
577.239;6.543
577.593;6.470
577.948;6.641
578.302;6.396
578.656;6.372
579.011;6.128
579.365;5.908
579.719;5.859
580.073;5.640
580.428;5.737
580.782;5.811
581.136;5.664
581.490;5.469
581.844;5.322
582.197;5.273
582.551;5.298
582.905;5.249
583.259;5.225
583.613;5.273
583.966;5.225
584.320;5.176
584.673;5.176
585.027;5.176
585.380;4.932
585.734;4.785
586.087;4.736
586.440;4.639
586.794;4.687
587.147;4.663
587.500;4.712
587.853;4.761
588.206;4.687
588.559;4.663
588.913;4.687
589.265;4.663
589.618;4.663
589.971;4.639
590.324;4.639
590.677;4.663
591.030;4.541
591.382;4.419
591.735;4.395
592.087;4.419
592.440;4.492
592.792;4.443
593.145;4.395
593.497;4.443
593.850;4.517
594.202;4.541
594.554;4.468
594.906;4.419
595.259;4.468
595.611;4.370
595.963;4.321
596.315;4.321
596.667;4.370
597.019;4.346
597.371;4.346
597.723;4.395
598.074;4.370
598.426;4.321
598.778;4.395
599.129;4.395
599.481;4.346
599.833;4.297
600.184;4.224
600.536;4.175
600.887;4.248
601.238;4.248
601.590;4.224
601.941;4.297
602.292;4.321
602.643;4.272
602.994;4.175
603.346;4.102
603.697;4.150
604.048;4.224
604.399;4.272
604.749;4.248
605.100;4.150
605.451;4.126
605.802;4.150
606.153;4.102
606.503;4.077
606.854;4.126
607.204;4.224
607.555;4.175
607.905;4.126
608.256;4.175
608.606;4.248
608.957;4.199
609.307;4.199
609.657;4.297
610.007;4.272
610.358;4.248
610.708;4.224
611.058;4.199
611.408;4.175
611.758;4.224
612.108;4.199
612.457;4.175
612.807;4.150
613.157;4.077
613.507;4.028
613.856;4.077
614.206;4.126
614.556;4.199
614.905;4.224
615.255;4.199
615.604;4.248
615.954;4.248
616.303;4.248
616.652;4.272
617.001;4.199
617.351;4.150
617.700;4.199
618.049;4.150
618.398;4.053
618.747;4.102
619.096;4.126
619.445;4.199
619.794;4.175
620.143;4.126
620.491;4.102
620.840;4.102
621.189;4.126
621.537;4.126
621.886;4.077
622.235;4.053
622.583;4.175
622.932;4.248
623.280;4.199
623.628;4.175
623.977;4.199
624.325;4.272
624.673;4.297
625.021;4.224
625.369;4.102
625.717;4.053
626.065;4.126
626.413;4.175
626.761;4.199
627.109;4.248
627.457;4.175
627.805;4.150
628.153;4.126
628.500;4.102
628.848;4.102
629.196;4.053
629.543;4.028
629.891;4.077
630.238;4.102
630.585;4.150
630.933;4.077
631.280;3.857
631.627;3.760
631.975;3.931
632.322;4.004
632.669;4.004
633.016;4.077
633.363;4.150
633.710;4.199
634.057;4.224
634.404;4.224
634.751;4.224
635.097;4.224
635.444;4.175
635.791;4.175
636.137;4.224
636.484;4.199
636.831;4.150
637.177;4.102
637.524;4.053
637.870;4.028
638.216;4.077
638.563;4.126
638.909;4.102
639.255;4.126
639.601;4.150
639.947;4.175
640.293;4.224
640.639;4.224
640.985;4.224
641.331;4.150
641.677;4.126
642.023;4.150
642.369;4.126
642.715;4.150
643.060;4.199
643.406;4.224
643.751;4.248
644.097;4.248
644.442;4.199
644.788;4.175
645.133;4.150
645.479;4.199
645.824;4.199
646.169;4.150
646.514;4.175
646.860;4.248
647.205;4.272
647.550;4.248
647.895;4.248
648.240;4.248
648.585;4.199
648.930;4.175
649.274;4.175
649.619;4.126
649.964;4.102
650.309;4.102
650.653;4.126
650.998;4.126
651.342;4.102
651.687;4.102
652.031;4.150
652.376;4.175
652.720;4.175
653.064;4.150
653.408;4.126
653.753;4.126
654.097;4.150
654.441;4.199
654.785;4.224
655.129;4.248
655.473;4.224
655.817;4.150
656.161;4.126
656.504;4.175
656.848;4.199
657.192;4.150
657.536;4.102
657.879;4.126
658.223;4.199
658.566;4.224
658.910;4.224
659.253;4.248
659.597;4.224
659.940;4.150
660.283;4.126
660.626;4.126
660.970;4.126
661.313;4.077
661.656;4.053
661.999;4.028
662.342;4.077
662.685;4.102
663.028;4.102
663.370;4.126
663.713;4.102
664.056;4.077
664.399;4.102
664.741;4.150
665.084;4.199
665.426;4.126
665.769;4.102
666.111;4.126
666.454;4.150
666.796;4.150
667.138;4.077
667.481;4.126
667.823;4.150
668.165;4.077
668.507;4.077
668.849;4.126
669.191;4.126
669.533;4.126
669.875;4.102
670.217;4.077
670.559;4.077
670.901;4.053
671.242;4.053
671.584;4.126
671.926;4.150
672.267;4.175
672.609;4.175
672.950;4.224
673.292;4.199
673.633;4.175
673.974;4.175
674.316;4.175
674.657;4.175
674.998;4.150
675.339;4.175
675.680;4.224
676.021;4.248
676.362;4.272
676.703;4.199
677.044;4.150
677.385;4.126
677.726;4.077
678.067;4.053
678.407;4.053
678.748;4.175
679.088;4.175
679.429;4.150
679.770;4.150
680.110;4.126
680.450;4.126
680.791;4.126
681.131;4.150
681.471;4.150
681.811;4.077
682.152;4.028
682.492;4.028
682.832;4.053
683.172;4.150
683.512;4.126
683.852;4.028
684.192;4.028
684.531;4.053
684.871;4.028
685.211;4.077
685.551;4.102
685.890;4.102
686.230;4.175
686.569;4.199
686.909;4.150
687.248;4.102
687.588;4.150
687.927;4.248
688.266;4.199
688.605;4.077
688.945;4.028
689.284;4.028
689.623;4.028
689.962;4.028
690.301;4.053
690.640;4.053
690.979;4.077
691.317;4.102
691.656;4.102
691.995;4.102
692.334;4.199
692.672;4.199
693.011;4.126
693.349;4.102
693.688;4.077
694.026;4.053
694.365;4.004
694.703;4.077
695.041;4.102
695.379;4.028
695.718;4.028
696.056;4.004
696.394;4.053
696.732;4.077
697.070;4.053
697.408;4.102
697.746;4.077
698.084;4.102
698.421;4.126
698.759;4.053
699.097;4.004
699.435;4.028
699.772;4.126
700.110;4.053
700.447;4.004
700.785;4.004
701.122;4.053
701.459;4.126
701.797;4.102
702.134;4.102
702.471;4.150
702.808;4.102
703.145;4.102
703.482;4.102
703.819;4.175
704.156;4.272
704.493;4.224
704.830;4.199
705.167;4.150
705.504;4.053
705.840;4.053
706.177;4.175
706.514;4.224
706.850;4.224
707.187;4.175
707.523;4.053
707.860;4.028
708.196;4.077
708.532;4.053
708.868;4.053
709.205;4.126
709.541;4.175
709.877;4.150
710.213;4.150
710.549;4.199
710.885;4.150
711.221;4.150
711.557;4.199
711.893;4.102
712.228;4.004
712.564;4.053
712.900;4.272
713.235;4.370
713.571;4.297
713.906;4.248
714.242;4.175
714.577;4.150
714.913;4.126
715.248;4.150
715.583;4.175
715.918;4.175
716.254;4.150
716.589;4.102
716.924;4.077
717.259;4.126
717.594;4.102
717.929;4.053
718.263;4.077
718.598;4.053
718.933;4.053
719.268;4.102
719.602;4.102
719.937;4.077
720.272;4.053
720.606;4.102
720.941;4.126
721.275;4.077
721.609;4.150
721.944;4.199
722.278;4.199
722.612;4.199
722.946;4.150
723.280;4.102
723.614;4.126
723.948;4.175
724.282;4.248
724.616;4.321
724.950;4.248
725.284;4.175
725.618;4.102
725.951;4.150
726.285;4.248
726.619;4.272
726.952;4.199
727.286;4.150
727.619;4.175
727.953;4.126
728.286;4.102
728.619;4.126
728.953;4.077
729.286;4.053
729.619;4.102
729.952;4.102
730.285;4.126
730.618;4.053
730.951;4.175
731.284;4.321
731.617;4.224
731.950;4.150
732.282;4.175
732.615;4.199
732.948;4.175
733.280;4.199
733.613;4.224
733.945;4.224
734.278;4.175
734.610;4.126
734.942;4.102
735.275;4.077
735.607;4.102
735.939;4.053
736.271;4.053
736.603;4.126
736.936;4.199
737.268;4.199
737.599;4.175
737.931;4.175
738.263;4.175
738.595;4.126
738.927;4.102
739.258;4.126
739.590;4.028
739.922;3.955
740.253;4.004
740.585;4.248
740.916;4.321
741.248;4.297
741.579;4.297
741.910;4.126
742.241;4.028
742.573;4.028
742.904;4.004
743.235;4.077
743.566;4.126
743.897;4.150
744.228;4.150
744.559;4.175
744.889;4.199
745.220;4.175
745.551;4.150
745.882;4.248
746.212;4.199
746.543;4.175
746.873;4.126
747.204;4.077
747.534;4.028
747.865;4.077
748.195;4.077
748.525;4.053
748.855;4.053
749.186;4.004
749.516;4.028
749.846;4.077
750.176;4.077
750.506;4.077
750.836;4.077
751.166;4.102
751.495;4.028
751.825;4.028
752.155;4.077
752.484;4.175
752.814;4.199
753.144;4.175
753.473;4.224
753.803;4.150
754.132;4.102
754.461;4.102
754.791;4.126
755.120;4.175
755.449;4.175
755.778;4.102
756.107;4.102
756.436;4.053
756.765;4.102
757.094;4.150
