Wave;Sample;Dark;Reference
321.430;23.900;8.483;0.000
321.449;-3.300;12.966;0.000
321.468;112.450;8.862;0.000
321.486;19.100;4.241;0.000
321.505;-42.900;-13.241;0.000
321.524;281.800;27.552;0.000
321.543;-61.250;-19.966;0.000
321.562;53.400;11.103;0.000
321.581;7.150;6.655;0.000
321.600;127.750;16.414;0.000
321.618;-94.950;-5.552;0.000
321.637;126.750;8.000;0.000
321.656;-38.900;-12.034;0.000
321.675;39.050;-0.793;0.000
321.694;124.350;18.310;0.000
321.712;-48.600;-7.793;0.000
321.731;74.850;13.759;0.000
321.750;168.850;9.276;0.000
321.769;68.850;5.552;0.000
321.788;-12.500;6.483;0.000
321.807;8.950;20.379;0.000
321.825;53.600;8.517;0.000
321.844;-10.000;-5.483;0.000
321.863;109.100;21.759;0.000
321.882;37.200;-4.172;0.000
321.901;257.050;18.931;0.000
321.919;181.400;17.103;0.000
321.938;-112.900;-18.138;0.000
321.957;36.550;3.655;0.000
321.976;145.450;5.586;0.000
321.995;176.450;11.586;0.000
322.013;-80.150;4.034;0.000
322.032;92.050;12.448;0.000
322.051;31.450;18.793;0.000
322.070;-15.950;-0.310;0.000
322.088;-144.350;-35.586;0.000
322.107;229.500;30.034;0.000
322.126;101.450;11.759;0.000
322.145;-96.400;-4.897;0.000
322.164;-78.750;-6.069;0.000
322.182;8.050;3.000;0.000
322.201;255.100;25.414;0.000
322.220;61.500;4.966;0.000
322.239;-23.800;-6.207;0.000
322.257;73.700;2.517;0.000
322.276;-16.400;8.552;0.000
322.295;-4.500;-12.138;0.000
322.314;89.400;-6.621;0.000
322.332;335.200;32.172;0.000
322.351;151.250;14.862;0.000
322.370;87.700;13.828;0.000
322.389;-55.600;-18.552;0.000
322.407;-10.950;12.966;0.000
322.426;19.850;-6.448;0.000
322.445;-146.800;-19.621;0.000
322.463;-112.450;-3.552;0.000
322.482;174.100;30.276;0.000
322.501;162.950;12.034;0.000
322.520;129.250;7.172;0.000
322.538;93.950;10.690;0.000
322.557;187.250;22.207;0.000
322.576;228.200;4.034;0.000
322.594;-115.900;-1.379;0.000
322.613;133.650;16.655;0.000
322.632;97.150;16.138;0.000
322.651;192.200;15.414;0.000
322.669;-17.100;-7.793;0.000
322.688;372.150;27.241;0.000
322.707;53.000;16.138;0.000
322.725;76.550;7.552;0.000
322.744;248.600;26.586;0.000
322.763;3.500;13.276;0.000
322.781;158.300;12.517;0.000
322.800;183.750;11.759;0.000
322.819;76.100;2.586;0.000
322.838;185.700;27.172;0.000
322.856;145.300;16.379;0.000
322.875;111.350;5.414;0.000
322.894;-58.450;-11.069;0.000
322.912;-25.300;-2.621;0.000
322.931;80.800;16.448;0.000
322.950;359.400;28.483;0.000
322.968;135.600;13.276;0.000
322.987;28.900;-12.655;0.000
323.006;2.550;-11.724;0.000
323.024;115.150;-11.483;0.000
323.043;114.050;8.448;0.000
323.061;147.650;17.345;0.000
323.080;204.850;20.862;0.000
323.099;49.650;1.448;0.000
323.117;160.800;17.759;0.000
323.136;178.600;14.724;0.000
323.155;-39.450;-12.793;0.000
323.173;108.750;6.655;0.000
323.192;62.950;0.897;0.000
323.211;-113.600;-22.690;0.000
323.229;-24.400;-9.172;0.000
323.248;-7.850;-4.172;0.000
323.266;302.250;19.793;0.000
323.285;24.700;1.034;0.000
323.304;199.350;23.000;0.000
323.322;105.950;-8.241;0.000
323.341;15.650;16.207;0.000
323.360;125.600;-4.241;0.000
323.378;185.300;21.552;0.000
323.397;236.450;16.552;0.000
323.415;63.550;8.552;0.000
323.434;240.000;13.586;0.000
323.453;173.350;-7.379;0.000
323.471;269.050;16.655;0.000
323.490;166.600;24.276;0.000
323.508;199.350;13.138;0.000
323.527;77.150;-0.276;0.000
323.546;113.200;7.103;0.000
323.564;-6.800;-1.552;0.000
323.583;-61.100;-16.483;0.000
323.601;167.350;23.276;0.000
323.620;207.900;10.724;0.000
323.638;206.250;2.724;0.000
323.657;116.550;11.966;0.000
323.676;192.150;13.517;0.000
323.694;88.950;7.586;0.000
323.713;81.400;-8.207;0.000
323.731;71.550;-13.690;0.000
323.750;132.350;7.724;0.000
323.768;221.400;15.862;0.000
323.787;85.450;-9.379;0.000
323.805;324.750;14.207;0.000
323.824;321.350;31.276;0.000
323.843;347.850;21.483;0.000
323.861;350.000;23.517;0.000
323.880;99.550;-9.759;0.000
323.898;44.900;-7.517;0.000
323.917;197.250;7.759;0.000
323.935;212.400;11.207;0.000
323.954;159.950;6.207;0.000
323.972;159.350;-0.621;0.000
