Frequency Magnitude
655418468.697124 -19.7542133331299
657939615.059222 -19.826021194458
660460761.42132 -19.8978290557861
662981907.783418 -19.9696369171143
665503054.145516 -20.0414447784424
668024200.507614 -20.1544456481934
670545346.869712 -20.2691650390625
673066493.23181 -20.383882522583
675587639.593909 -20.4986000061035
678108785.956007 -20.613317489624
680629932.318105 -20.7273654937744
683151078.680203 -20.8286933898926
685672225.042301 -20.9300212860107
688193371.404399 -21.0313491821289
690714517.766497 -21.1326770782471
693235664.128596 -21.2340049743652
695756810.490694 -21.3429374694824
698277956.852792 -21.4985942840576
700799103.21489 -21.6542530059814
703320249.576988 -21.8099098205566
705841395.939086 -21.9655666351318
708362542.301184 -22.121223449707
710883688.663283 -22.2715473175049
713404835.025381 -22.4040203094482
715925981.387479 -22.5364933013916
718447127.749577 -22.668966293335
720968274.111675 -22.8014392852783
723489420.473773 -22.9339122772217
726010566.835871 -23.0457420349121
728531713.19797 -23.1137065887451
731052859.560068 -23.1816692352295
733574005.922166 -23.2496318817139
736095152.284264 -23.3175964355469
738616298.646362 -23.3855590820313
741137445.00846 -23.4342880249023
743658591.370558 -23.4553375244141
746179737.732656 -23.4763851165771
748700884.094755 -23.4974346160889
751222030.456853 -23.5184841156006
753743176.818951 -23.5395336151123
756264323.181049 -23.5382804870605
758785469.543147 -23.5147228240967
761306615.905245 -23.4911670684814
763827762.267344 -23.4676094055176
766348908.629442 -23.4440517425537
768870054.99154 -23.4204959869385
771391201.353638 -23.3901748657227
773912347.715736 -23.3551540374756
776433494.077834 -23.3201313018799
778954640.439932 -23.2851104736328
781475786.80203 -23.2500896453857
783996933.164129 -23.2150688171387
786518079.526227 -23.1976413726807
789039225.888325 -23.1884937286377
791560372.250423 -23.1793460845947
794081518.612521 -23.1701984405518
796602664.974619 -23.1610507965088
799123811.336717 -23.1519031524658
801644957.698816 -23.1857604980469
804166104.060914 -23.2324619293213
806687250.423012 -23.2791633605957
809208396.78511 -23.3258647918701
811729543.147208 -23.3725662231445
814250689.509306 -23.4192676544189
816771835.871404 -23.5023040771484
819292982.233503 -23.5912551879883
