Wave;Sample;Dark;Reference
324.639;105.282;46.100;0.000
324.806;131.335;40.500;0.000
324.974;101.942;43.100;0.000
325.142;188.097;91.900;0.000
325.309;108.334;49.800;0.000
325.477;178.165;82.100;0.000
325.645;120.190;78.100;0.000
325.813;169.878;82.600;0.000
325.980;161.103;62.100;0.000
326.148;153.970;69.400;0.000
326.316;198.731;75.400;0.000
326.483;113.606;59.400;0.000
326.651;129.541;47.500;0.000
326.819;156.771;74.100;0.000
326.986;247.196;86.700;0.000
327.154;130.775;61.900;0.000
327.322;212.910;105.100;0.000
327.489;155.301;82.100;0.000
327.657;170.644;72.200;0.000
327.824;111.915;37.000;0.000
327.992;154.193;78.600;0.000
328.160;154.194;57.400;0.000
328.327;211.554;92.300;0.000
328.495;205.332;86.800;0.000
328.662;174.560;64.200;0.000
328.830;260.784;71.700;0.000
328.998;665.263;164.300;0.000
329.165;1677.813;413.300;0.000
329.333;4416.614;1035.000;0.000
329.500;4680.473;879.100;0.000
329.668;1196.373;169.200;0.000
329.835;355.995;102.200;0.000
330.003;196.779;82.200;0.000
330.171;180.750;68.800;0.000
330.338;234.480;84.500;0.000
330.506;256.796;98.200;0.000
330.673;165.268;63.500;0.000
330.841;168.198;64.100;0.000
331.008;205.128;93.000;0.000
331.176;82.946;48.900;0.000
331.343;236.875;95.700;0.000
331.511;206.223;82.800;0.000
331.678;238.256;103.500;0.000
331.846;243.650;112.300;0.000
332.013;189.697;82.300;0.000
332.181;220.153;73.900;0.000
332.348;176.406;70.600;0.000
332.515;149.118;66.500;0.000
332.683;158.590;69.300;0.000
332.850;131.357;68.600;0.000
333.018;142.206;71.100;0.000
333.185;128.210;64.300;0.000
333.353;188.131;87.500;0.000
333.520;153.784;66.900;0.000
333.687;152.172;35.300;0.000
333.855;63.239;40.500;0.000
334.022;122.108;53.300;0.000
334.190;130.300;43.900;0.000
334.357;158.761;69.900;0.000
334.524;146.388;107.100;0.000
334.692;184.928;83.600;0.000
334.859;157.113;68.700;0.000
335.027;172.410;74.000;0.000
335.194;263.062;100.300;0.000
