# lambda/AA  F/Fc
6584.0463 0.988740
6584.0446 0.988767
6584.0430 0.988540
6584.0414 0.988250
6584.0397 0.988317
6584.0381 0.988751
6584.0365 0.989030
6584.0348 0.988915
6584.0332 0.988711
6584.0316 0.988632
6584.0299 0.988589
6584.0283 0.988504
6584.0267 0.988410
6584.0250 0.988350
6584.0234 0.988329
6584.0218 0.988296
6584.0201 0.988143
6584.0185 0.987896
6584.0169 0.987765
6584.0152 0.987711
6584.0136 0.987498
6584.0120 0.987346
6584.0103 0.987584
6584.0087 0.987888
6584.0071 0.987929
6584.0054 0.987916
6584.0038 0.987877
6584.0022 0.987702
6584.0005 0.987657
6583.9989 0.987787
6583.9973 0.987780
6583.9956 0.987671
6583.9940 0.987627
6583.9924 0.987596
6583.9907 0.987607
6583.9891 0.987605
6583.9875 0.987404
6583.9858 0.987137
6583.9842 0.986996
6583.9826 0.986903
6583.9809 0.986874
6583.9793 0.986894
6583.9777 0.986792
6583.9760 0.986710
6583.9744 0.986870
6583.9728 0.987089
6583.9711 0.987163
6583.9695 0.987076
6583.9679 0.986881
6583.9662 0.986814
6583.9646 0.986878
6583.9630 0.986642
6583.9613 0.986135
6583.9597 0.985931
6583.9581 0.986111
6583.9564 0.986275
6583.9548 0.986268
6583.9532 0.986164
6583.9515 0.986004
6583.9499 0.985856
6583.9483 0.985838
6583.9466 0.985950
6583.9450 0.985914
6583.9434 0.985565
6583.9417 0.985294
6583.9401 0.985402
6583.9385 0.985555
6583.9368 0.985510
6583.9352 0.985421
6583.9336 0.985293
6583.9319 0.985158
6583.9303 0.985225
6583.9287 0.985332
6583.9270 0.985168
6583.9254 0.984894
6583.9238 0.984755
6583.9221 0.984682
6583.9205 0.984645
6583.9189 0.984680
6583.9172 0.984657
6583.9156 0.984437
6583.9140 0.984070
6583.9123 0.983800
6583.9107 0.983865
6583.9091 0.984101
6583.9074 0.984064
6583.9058 0.983717
6583.9042 0.983467
6583.9025 0.983480
6583.9009 0.983496
6583.8993 0.983336
6583.8976 0.983184
6583.8960 0.983246
6583.8944 0.983341
6583.8927 0.983190
6583.8911 0.982923
6583.8895 0.982786
6583.8878 0.982634
6583.8862 0.982345
6583.8846 0.982173
6583.8829 0.982146
6583.8813 0.981930
6583.8797 0.981547
6583.8780 0.981333
6583.8764 0.981280
6583.8748 0.981170
6583.8731 0.980990
6583.8715 0.980833
6583.8699 0.980690
6583.8682 0.980461
6583.8666 0.980091
6583.8650 0.979686
6583.8633 0.979344
6583.8617 0.979105
6583.8601 0.979074
6583.8584 0.979143
6583.8568 0.978911
6583.8552 0.978384
6583.8535 0.978027
6583.8519 0.977897
6583.8503 0.977663
6583.8486 0.977312
6583.8470 0.977043
6583.8454 0.976844
6583.8437 0.976531
6583.8421 0.975995
6583.8405 0.975369
6583.8388 0.974844
6583.8372 0.974391
6583.8356 0.973958
6583.8339 0.973590
6583.8323 0.973153
6583.8307 0.972544
6583.8290 0.971951
6583.8274 0.971382
6583.8258 0.970654
6583.8241 0.969976
6583.8225 0.969588
6583.8209 0.969143
6583.8192 0.968368
6583.8176 0.967575
6583.8160 0.966958
6583.8143 0.966310
6583.8127 0.965619
6583.8111 0.964974
6583.8094 0.964178
6583.8078 0.963202
6583.8062 0.962305
6583.8045 0.961413
6583.8029 0.960332
6583.8013 0.959278
6583.7997 0.958330
6583.7980 0.957208
6583.7964 0.955976
6583.7948 0.954939
6583.7931 0.954062
6583.7915 0.953188
6583.7899 0.952200
6583.7882 0.950969
6583.7866 0.949608
6583.7850 0.948303
6583.7833 0.946985
6583.7817 0.945647
6583.7801 0.944415
6583.7784 0.943219
6583.7768 0.941991
6583.7752 0.940797
6583.7735 0.939604
6583.7719 0.938358
6583.7703 0.937032
6583.7686 0.935557
6583.7670 0.934027
6583.7654 0.932587
6583.7637 0.931117
6583.7621 0.929528
6583.7605 0.927930
6583.7588 0.926433
6583.7572 0.925159
6583.7556 0.924064
6583.7539 0.922779
6583.7523 0.921191
6583.7507 0.919616
6583.7490 0.918178
6583.7474 0.916720
6583.7458 0.915166
6583.7441 0.913613
6583.7425 0.912292
6583.7409 0.911268
6583.7392 0.910222
6583.7376 0.908979
6583.7360 0.907734
6583.7343 0.906482
6583.7327 0.904991
6583.7311 0.903399
6583.7294 0.902188
6583.7278 0.901453
6583.7262 0.900667
6583.7245 0.899516
6583.7229 0.898424
6583.7213 0.897691
6583.7196 0.897014
6583.7180 0.896297
6583.7164 0.895722
6583.7147 0.895126
6583.7131 0.894378
6583.7115 0.893686
6583.7098 0.893135
6583.7082 0.892762
6583.7066 0.892655
6583.7049 0.892508
6583.7033 0.891983
6583.7017 0.891421
6583.7000 0.891318
6583.6984 0.891559
6583.6968 0.891789
6583.6951 0.892035
6583.6935 0.892495
6583.6919 0.892966
6583.6902 0.893110
6583.6886 0.893117
6583.6870 0.893404
6583.6853 0.893898
6583.6837 0.894321
6583.6821 0.894720
6583.6804 0.895273
6583.6788 0.896015
6583.6772 0.896888
6583.6755 0.897849
6583.6739 0.898873
6583.6723 0.899804
6583.6706 0.900489
6583.6690 0.901137
6583.6674 0.902028
6583.6657 0.903071
6583.6641 0.904129
6583.6625 0.905295
6583.6608 0.906593
6583.6592 0.907923
6583.6576 0.909272
6583.6559 0.910656
6583.6543 0.911999
6583.6527 0.913168
6583.6510 0.914180
6583.6494 0.915286
6583.6478 0.916641
6583.6461 0.918126
6583.6445 0.919604
6583.6429 0.920941
6583.6412 0.922013
6583.6396 0.923043
6583.6380 0.924319
6583.6363 0.925654
6583.6347 0.926866
6583.6331 0.928213
6583.6314 0.929725
6583.6298 0.930932
6583.6282 0.931611
6583.6265 0.932175
6583.6249 0.933112
6583.6233 0.934360
6583.6216 0.935529
6583.6200 0.936558
6583.6184 0.937601
6583.6167 0.938510
6583.6151 0.939145
6583.6135 0.939794
6583.6118 0.940680
6583.6102 0.941588
6583.6086 0.942280
6583.6069 0.942830
6583.6053 0.943429
6583.6037 0.944101
6583.6020 0.944694
6583.6004 0.945162
6583.5988 0.945598
6583.5971 0.945936
6583.5955 0.946088
6583.5939 0.946257
6583.5923 0.946607
6583.5906 0.946965
6583.5890 0.947193
6583.5874 0.947386
6583.5857 0.947569
6583.5841 0.947611
6583.5825 0.947451
6583.5808 0.947166
6583.5792 0.946876
6583.5776 0.946563
6583.5759 0.946070
6583.5743 0.945400
6583.5727 0.944794
6583.5710 0.944362
6583.5694 0.943919
6583.5678 0.943282
6583.5661 0.942445
6583.5645 0.941449
6583.5629 0.940289
6583.5612 0.938927
6583.5596 0.937443
6583.5580 0.936139
6583.5563 0.935138
6583.5547 0.933960
6583.5531 0.932128
6583.5514 0.929962
6583.5498 0.928061
6583.5482 0.926423
6583.5465 0.924654
6583.5449 0.922598
6583.5433 0.920363
6583.5416 0.918085
6583.5400 0.915770
6583.5384 0.913388
6583.5367 0.911077
6583.5351 0.908904
6583.5335 0.906636
6583.5318 0.904248
6583.5302 0.902113
6583.5286 0.900314
6583.5269 0.898520
6583.5253 0.896619
6583.5237 0.894811
6583.5220 0.893353
6583.5204 0.892410
6583.5188 0.891905
6583.5171 0.891692
6583.5155 0.891863
6583.5139 0.892450
6583.5122 0.893340
6583.5106 0.894626
6583.5090 0.896340
6583.5073 0.898216
6583.5057 0.900339
6583.5041 0.903105
6583.5024 0.906292
6583.5008 0.909317
6583.4992 0.912173
6583.4975 0.915127
6583.4959 0.918087
6583.4943 0.920930
6583.4926 0.923791
6583.4910 0.926687
6583.4894 0.929401
6583.4877 0.931887
6583.4861 0.934344
6583.4845 0.936835
6583.4828 0.939166
6583.4812 0.941234
6583.4796 0.943198
6583.4779 0.945228
6583.4763 0.947312
6583.4747 0.949297
6583.4730 0.950977
6583.4714 0.952271
6583.4698 0.953386
6583.4681 0.954569
6583.4665 0.955845
6583.4649 0.957187
6583.4632 0.958531
6583.4616 0.959623
6583.4600 0.960392
6583.4583 0.961170
6583.4567 0.962106
6583.4551 0.963032
6583.4534 0.963912
6583.4518 0.964687
6583.4502 0.965179
6583.4485 0.965552
6583.4469 0.966100
6583.4453 0.966736
6583.4436 0.967303
6583.4420 0.967828
6583.4404 0.968294
6583.4388 0.968701
6583.4371 0.969127
6583.4355 0.969543
6583.4339 0.969915
6583.4322 0.970287
6583.4306 0.970661
6583.4290 0.970969
6583.4273 0.971108
6583.4257 0.971146
6583.4241 0.971370
6583.4224 0.971764
6583.4208 0.972040
6583.4192 0.972271
6583.4175 0.972577
6583.4159 0.972825
6583.4143 0.973163
6583.4126 0.973633
6583.4110 0.973705
6583.4094 0.973315
6583.4077 0.973035
6583.4061 0.973055
6583.4045 0.973365
6583.4028 0.973967
6583.4012 0.974383
6583.3996 0.974408
6583.3979 0.974515
6583.3963 0.974734
6583.3947 0.974706
6583.3930 0.974555
6583.3914 0.974487
6583.3898 0.974541
6583.3881 0.974780
6583.3865 0.974926
6583.3849 0.974736
6583.3832 0.974587
6583.3816 0.974681
6583.3800 0.974722
6583.3783 0.974640
6583.3767 0.974482
6583.3751 0.974210
6583.3734 0.974036
6583.3718 0.974109
6583.3702 0.974257
6583.3685 0.974373
6583.3669 0.974350
6583.3653 0.974104
6583.3636 0.973910
6583.3620 0.973907
6583.3604 0.973755
6583.3587 0.973369
6583.3571 0.973016
6583.3555 0.972735
6583.3538 0.972441
6583.3522 0.972186
6583.3506 0.971978
6583.3489 0.971717
6583.3473 0.971337
6583.3457 0.970954
6583.3440 0.970732
6583.3424 0.970538
6583.3408 0.970190
6583.3391 0.969862
6583.3375 0.969612
6583.3359 0.969143
6583.3342 0.968511
6583.3326 0.968049
6583.3310 0.967647
6583.3293 0.967080
6583.3277 0.966444
6583.3261 0.965698
6583.3244 0.964737
6583.3228 0.963872
6583.3212 0.963294
6583.3195 0.962641
6583.3179 0.961730
6583.3163 0.960802
6583.3146 0.959897
6583.3130 0.958859
6583.3114 0.957722
6583.3098 0.956559
6583.3081 0.955386
6583.3065 0.954241
6583.3049 0.953009
6583.3032 0.951551
6583.3016 0.950052
6583.3000 0.948737
6583.2983 0.947495
6583.2967 0.946133
6583.2951 0.944622
6583.2934 0.943078
6583.2918 0.941665
6583.2902 0.940278
6583.2885 0.938624
6583.2869 0.936839
6583.2853 0.935345
6583.2836 0.934048
6583.2820 0.932590
6583.2804 0.931117
6583.2787 0.929929
6583.2771 0.928906
6583.2755 0.927939
6583.2738 0.927199
6583.2722 0.926670
6583.2706 0.926190
6583.2689 0.925872
6583.2673 0.925834
6583.2657 0.925956
6583.2640 0.926208
6583.2624 0.926694
6583.2608 0.927460
6583.2591 0.928579
6583.2575 0.930048
6583.2559 0.931726
6583.2542 0.933525
6583.2526 0.935245
6583.2510 0.936672
6583.2493 0.938123
6583.2477 0.940013
6583.2461 0.942065
6583.2444 0.943887
6583.2428 0.945572
6583.2412 0.947236
6583.2395 0.948842
6583.2379 0.950371
6583.2363 0.951731
6583.2346 0.952894
6583.2330 0.954002
6583.2314 0.955190
6583.2297 0.956524
6583.2281 0.957829
6583.2265 0.958795
6583.2248 0.959673
6583.2232 0.960949
6583.2216 0.962309
6583.2199 0.963199
6583.2183 0.963785
6583.2167 0.964428
6583.2150 0.965129
6583.2134 0.965821
6583.2118 0.966544
6583.2101 0.967294
6583.2085 0.967851
6583.2069 0.968068
6583.2052 0.968350
6583.2036 0.968961
6583.2020 0.969427
6583.2003 0.969615
6583.1987 0.969994
6583.1971 0.970452
6583.1955 0.970689
6583.1938 0.971039
6583.1922 0.971599
6583.1906 0.971999
6583.1889 0.972251
6583.1873 0.972504
6583.1857 0.972716
6583.1840 0.973007
6583.1824 0.973449
6583.1808 0.973879
6583.1791 0.974227
6583.1775 0.974506
6583.1759 0.974757
6583.1742 0.975075
6583.1726 0.975378
6583.1710 0.975604
6583.1693 0.975906
6583.1677 0.976194
6583.1661 0.976276
6583.1644 0.976363
6583.1628 0.976648
6583.1612 0.977007
6583.1595 0.977374
6583.1579 0.977709
6583.1563 0.977883
6583.1546 0.977913
6583.1530 0.977950
6583.1514 0.978092
6583.1497 0.978312
6583.1481 0.978459
6583.1465 0.978568
6583.1448 0.978889
6583.1432 0.979404
6583.1416 0.979825
6583.1399 0.979994
6583.1383 0.980001
6583.1367 0.980136
6583.1350 0.980517
6583.1334 0.980865
6583.1318 0.981153
6583.1301 0.981653
6583.1285 0.982125
6583.1269 0.982199
6583.1252 0.982113
6583.1236 0.982082
6583.1220 0.982019
6583.1203 0.982054
6583.1187 0.982260
6583.1171 0.982423
6583.1154 0.982559
6583.1138 0.982903
6583.1122 0.983453
6583.1105 0.983873
6583.1089 0.983836
6583.1073 0.983639
6583.1056 0.983912
6583.1040 0.984448
6583.1024 0.984565
6583.1007 0.984388
6583.0991 0.984379
6583.0975 0.984455
6583.0959 0.984528
6583.0942 0.984772
6583.0926 0.985123
6583.0910 0.985354
6583.0893 0.985435
6583.0877 0.985481
6583.0861 0.985562
6583.0844 0.985618
6583.0828 0.985618
6583.0812 0.985653
6583.0795 0.985704
6583.0779 0.985755
6583.0763 0.985990
6583.0746 0.986338
6583.0730 0.986419
6583.0714 0.986225
6583.0697 0.986057
6583.0681 0.986042
6583.0665 0.986249
6583.0648 0.986611
6583.0632 0.986751
6583.0616 0.986589
6583.0599 0.986479
6583.0583 0.986514
6583.0567 0.986611
6583.0550 0.986911
6583.0534 0.987301
6583.0518 0.987334
6583.0501 0.986988
6583.0485 0.986612
6583.0469 0.986384
6583.0452 0.986451
6583.0436 0.986862
6583.0420 0.987228
6583.0403 0.987231
6583.0387 0.987083
6583.0371 0.987015
6583.0354 0.987011
6583.0338 0.987058
6583.0322 0.987128
6583.0305 0.987236
6583.0289 0.987416
6583.0273 0.987454
6583.0256 0.987248
6583.0240 0.987086
6583.0224 0.986942
6583.0207 0.986557
6583.0191 0.986284
6583.0175 0.986441
6583.0158 0.986589
6583.0142 0.986479
6583.0126 0.986429
6583.0109 0.986507
6583.0093 0.986521
6583.0077 0.986408
6583.0060 0.986187
6583.0044 0.986088
6583.0028 0.986351
6583.0012 0.986710
6582.9995 0.986725
6582.9979 0.986353
6582.9963 0.985847
6582.9946 0.985560
6582.9930 0.985663
6582.9914 0.985893
6582.9897 0.985896
6582.9881 0.985654
6582.9865 0.985420
6582.9848 0.985396
6582.9832 0.985374
6582.9816 0.985082
6582.9799 0.984839
6582.9783 0.984934
6582.9767 0.984915
6582.9750 0.984564
6582.9734 0.984352
6582.9718 0.984337
6582.9701 0.984095
6582.9685 0.983636
6582.9669 0.983289
6582.9652 0.983171
6582.9636 0.983189
6582.9620 0.983183
6582.9603 0.983126
6582.9587 0.983105
6582.9571 0.983007
6582.9554 0.982671
6582.9538 0.982271
6582.9522 0.982074
6582.9505 0.982051
6582.9489 0.981941
6582.9473 0.981614
6582.9456 0.981244
6582.9440 0.981004
6582.9424 0.980891
6582.9407 0.980956
6582.9391 0.981135
6582.9375 0.981079
6582.9358 0.980692
6582.9342 0.980250
6582.9326 0.979930
6582.9309 0.979758
6582.9293 0.979571
6582.9277 0.979064
6582.9260 0.978466
6582.9244 0.978359
6582.9228 0.978553
6582.9211 0.978370
6582.9195 0.977818
6582.9179 0.977451
6582.9163 0.977540
6582.9146 0.977843
6582.9130 0.977908
6582.9114 0.977557
6582.9097 0.977030
6582.9081 0.976717
6582.9065 0.976824
6582.9048 0.977057
6582.9032 0.976931
6582.9016 0.976579
6582.8999 0.976445
6582.8983 0.976439
6582.8967 0.976365
6582.8950 0.976369
6582.8934 0.976445
6582.8918 0.976471
6582.8901 0.976518
6582.8885 0.976535
6582.8869 0.976405
6582.8852 0.976271
6582.8836 0.976343
6582.8820 0.976677
6582.8803 0.977061
6582.8787 0.977129
6582.8771 0.976947
6582.8754 0.976916
6582.8738 0.976986
6582.8722 0.976954
6582.8705 0.976976
6582.8689 0.977120
6582.8673 0.977316
6582.8656 0.977685
6582.8640 0.978187
6582.8624 0.978581
6582.8607 0.978820
6582.8591 0.978938
6582.8575 0.978967
6582.8558 0.979000
6582.8542 0.979011
6582.8526 0.979032
6582.8509 0.979257
6582.8493 0.979576
6582.8477 0.979776
6582.8460 0.980070
6582.8444 0.980571
6582.8428 0.980945
6582.8411 0.981022
6582.8395 0.981000
6582.8379 0.981083
6582.8362 0.981253
6582.8346 0.981305
6582.8330 0.981242
6582.8314 0.981337
6582.8297 0.981527
6582.8281 0.981547
6582.8265 0.981600
6582.8248 0.981977
6582.8232 0.982469
6582.8216 0.982761
6582.8199 0.982788
6582.8183 0.982656
6582.8167 0.982564
6582.8150 0.982532
6582.8134 0.982375
6582.8118 0.982221
6582.8101 0.982413
6582.8085 0.982818
6582.8069 0.982952
6582.8052 0.982750
6582.8036 0.982601
6582.8020 0.982654
6582.8003 0.982587
6582.7987 0.982203
6582.7971 0.981787
6582.7954 0.981620
6582.7938 0.981566
6582.7922 0.981360
6582.7905 0.980967
6582.7889 0.980588
6582.7873 0.980399
6582.7856 0.980285
6582.7840 0.980021
6582.7824 0.979659
6582.7807 0.979370
6582.7791 0.979103
6582.7775 0.978800
6582.7758 0.978545
6582.7742 0.978281
6582.7726 0.977887
6582.7709 0.977522
6582.7693 0.977330
6582.7677 0.977104
6582.7660 0.976670
6582.7644 0.976148
6582.7628 0.975653
6582.7611 0.975243
6582.7595 0.975061
6582.7579 0.975150
6582.7563 0.975302
6582.7546 0.975264
6582.7530 0.974991
6582.7514 0.974716
6582.7497 0.974696
6582.7481 0.974921
6582.7465 0.975238
6582.7448 0.975577
6582.7432 0.975935
6582.7416 0.976360
6582.7399 0.976840
6582.7383 0.977199
6582.7367 0.977358
6582.7350 0.977427
6582.7334 0.977443
6582.7318 0.977518
6582.7301 0.977878
6582.7285 0.978332
6582.7269 0.978477
6582.7252 0.978415
6582.7236 0.978450
6582.7220 0.978577
6582.7203 0.978809
6582.7187 0.979217
6582.7171 0.979571
6582.7154 0.979574
6582.7138 0.979294
6582.7122 0.979073
6582.7105 0.979119
6582.7089 0.979267
6582.7073 0.979236
6582.7056 0.979020
6582.7040 0.978814
6582.7024 0.978750
6582.7007 0.978761
6582.6991 0.978623
6582.6975 0.978379
6582.6958 0.978369
6582.6942 0.978536
6582.6926 0.978491
6582.6909 0.978250
6582.6893 0.978007
6582.6877 0.977709
6582.6861 0.977432
6582.6844 0.977340
6582.6828 0.977305
6582.6812 0.977227
6582.6795 0.977134
6582.6779 0.976930
6582.6763 0.976704
6582.6746 0.976724
6582.6730 0.976827
6582.6714 0.976675
6582.6697 0.976417
6582.6681 0.976386
6582.6665 0.976563
6582.6648 0.976729
6582.6632 0.976800
6582.6616 0.976835
6582.6599 0.976850
6582.6583 0.976747
6582.6567 0.976505
6582.6550 0.976274
6582.6534 0.976258
6582.6518 0.976528
6582.6501 0.976883
6582.6485 0.977028
6582.6469 0.976991
6582.6452 0.976978
6582.6436 0.976980
6582.6420 0.977015
6582.6403 0.977270
6582.6387 0.977617
6582.6371 0.977661
6582.6354 0.977505
6582.6338 0.977686
6582.6322 0.978265
6582.6305 0.978675
6582.6289 0.978608
6582.6273 0.978426
6582.6256 0.978508
6582.6240 0.978739
6582.6224 0.978878
6582.6207 0.978927
6582.6191 0.978970
6582.6175 0.979026
6582.6159 0.979149
6582.6142 0.979440
6582.6126 0.979900
6582.6110 0.980381
6582.6093 0.980728
6582.6077 0.980888
6582.6061 0.980900
6582.6044 0.980899
6582.6028 0.981003
6582.6012 0.981197
6582.5995 0.981469
6582.5979 0.981771
6582.5963 0.981870
6582.5946 0.981780
6582.5930 0.981888
6582.5914 0.982203
6582.5897 0.982351
6582.5881 0.982399
6582.5865 0.982629
6582.5848 0.982960
6582.5832 0.983244
6582.5816 0.983410
6582.5799 0.983431
6582.5783 0.983575
6582.5767 0.983962
6582.5750 0.984125
6582.5734 0.983921
6582.5718 0.983902
6582.5701 0.984247
6582.5685 0.984477
6582.5669 0.984314
6582.5652 0.984063
6582.5636 0.984176
6582.5620 0.984603
6582.5603 0.984829
6582.5587 0.984726
6582.5571 0.984648
6582.5554 0.984742
6582.5538 0.984955
6582.5522 0.985168
6582.5505 0.985085
6582.5489 0.984748
6582.5473 0.984616
6582.5457 0.984721
6582.5440 0.984790
6582.5424 0.984880
6582.5408 0.985027
6582.5391 0.985072
6582.5375 0.985023
6582.5359 0.984916
6582.5342 0.984787
6582.5326 0.984872
6582.5310 0.985207
6582.5293 0.985510
6582.5277 0.985583
6582.5261 0.985374
6582.5244 0.985078
6582.5228 0.985097
6582.5212 0.985336
6582.5195 0.985328
6582.5179 0.985164
6582.5163 0.985200
6582.5146 0.985276
6582.5130 0.985125
6582.5114 0.984893
6582.5097 0.984876
6582.5081 0.985117
6582.5065 0.985335
6582.5048 0.985268
6582.5032 0.985038
6582.5016 0.984902
6582.4999 0.984931
6582.4983 0.985083
6582.4967 0.985240
6582.4950 0.985255
6582.4934 0.985118
6582.4918 0.984915
6582.4901 0.984771
6582.4885 0.984791
6582.4869 0.984878
6582.4853 0.984869
6582.4836 0.984738
6582.4820 0.984512
6582.4804 0.984323
6582.4787 0.984300
6582.4771 0.984254
6582.4755 0.984083
6582.4738 0.984120
6582.4722 0.984381
6582.4706 0.984434
6582.4689 0.984270
6582.4673 0.984188
6582.4657 0.984161
6582.4640 0.984066
6582.4624 0.983920
6582.4608 0.983764
6582.4591 0.983678
6582.4575 0.983652
6582.4559 0.983552
6582.4542 0.983433
6582.4526 0.983388
6582.4510 0.983267
6582.4493 0.982967
6582.4477 0.982605
6582.4461 0.982321
6582.4444 0.982154
6582.4428 0.981977
6582.4412 0.981701
6582.4395 0.981538
6582.4379 0.981570
6582.4363 0.981475
6582.4346 0.981142
6582.4330 0.980883
6582.4314 0.980808
6582.4297 0.980744
6582.4281 0.980576
6582.4265 0.980289
6582.4248 0.979924
6582.4232 0.979577
6582.4216 0.979234
6582.4200 0.978805
6582.4183 0.978344
6582.4167 0.977970
6582.4151 0.977606
6582.4134 0.977102
6582.4118 0.976544
6582.4102 0.976062
6582.4085 0.975546
6582.4069 0.974908
6582.4053 0.974244
6582.4036 0.973521
6582.4020 0.972668
6582.4004 0.971908
6582.3987 0.971407
6582.3971 0.970901
6582.3955 0.970075
6582.3938 0.969004
6582.3922 0.967988
6582.3906 0.967080
6582.3889 0.966069
6582.3873 0.964991
6582.3857 0.964047
6582.3840 0.963008
6582.3824 0.961634
6582.3808 0.960326
6582.3791 0.959504
6582.3775 0.958991
6582.3759 0.958400
6582.3742 0.957438
6582.3726 0.956111
6582.3710 0.954961
6582.3693 0.954446
6582.3677 0.954281
6582.3661 0.954037
6582.3644 0.953755
6582.3628 0.953621
6582.3612 0.953663
6582.3596 0.953833
6582.3579 0.954112
6582.3563 0.954599
6582.3547 0.955387
6582.3530 0.956388
6582.3514 0.957420
6582.3498 0.958399
6582.3481 0.959363
6582.3465 0.960451
6582.3449 0.961779
6582.3432 0.963271
6582.3416 0.964672
6582.3400 0.965783
6582.3383 0.966707
6582.3367 0.967735
6582.3351 0.968919
6582.3334 0.970072
6582.3318 0.971097
6582.3302 0.971988
6582.3285 0.972738
6582.3269 0.973388
6582.3253 0.973970
6582.3236 0.974468
6582.3220 0.974926
6582.3204 0.975411
6582.3187 0.975937
6582.3171 0.976485
6582.3155 0.977003
6582.3138 0.977561
6582.3122 0.978283
6582.3106 0.978931
6582.3089 0.979138
6582.3073 0.979112
6582.3057 0.979332
6582.3041 0.979784
6582.3024 0.980172
6582.3008 0.980472
6582.2992 0.980809
6582.2975 0.981087
6582.2959 0.981090
6582.2943 0.980935
6582.2926 0.981026
6582.2910 0.981399
6582.2894 0.981684
6582.2877 0.981772
6582.2861 0.981838
6582.2845 0.981911
6582.2828 0.981955
6582.2812 0.982010
6582.2796 0.982070
6582.2779 0.982138
6582.2763 0.982244
6582.2747 0.982329
6582.2730 0.982411
6582.2714 0.982655
6582.2698 0.982999
6582.2681 0.983136
6582.2665 0.983042
6582.2649 0.983038
6582.2632 0.983224
6582.2616 0.983339
6582.2600 0.983205
6582.2583 0.982947
6582.2567 0.982757
6582.2551 0.982660
6582.2534 0.982543
6582.2518 0.982401
6582.2502 0.982447
6582.2486 0.982780
6582.2469 0.983196
6582.2453 0.983508
6582.2437 0.983636
6582.2420 0.983446
6582.2404 0.983005
6582.2388 0.982653
6582.2371 0.982563
6582.2355 0.982597
6582.2339 0.982570
6582.2322 0.982420
6582.2306 0.982297
6582.2290 0.982360
6582.2273 0.982465
6582.2257 0.982424
6582.2241 0.982292
6582.2224 0.982084
6582.2208 0.981769
6582.2192 0.981531
6582.2175 0.981519
6582.2159 0.981571
6582.2143 0.981475
6582.2126 0.981257
6582.2110 0.981166
6582.2094 0.981376
6582.2077 0.981675
6582.2061 0.981709
6582.2045 0.981424
6582.2028 0.981051
6582.2012 0.980844
6582.1996 0.980837
6582.1979 0.980779
6582.1963 0.980475
6582.1947 0.980098
6582.1931 0.979933
6582.1914 0.979998
6582.1898 0.980022
6582.1882 0.979782
6582.1865 0.979453
6582.1849 0.979320
6582.1833 0.979280
6582.1816 0.979126
6582.1800 0.978952
6582.1784 0.978859
6582.1767 0.978810
6582.1751 0.978800
6582.1735 0.978779
6582.1718 0.978630
6582.1702 0.978382
6582.1686 0.978159
6582.1669 0.977998
6582.1653 0.977802
6582.1637 0.977485
6582.1620 0.977191
6582.1604 0.977085
6582.1588 0.976953
6582.1571 0.976605
6582.1555 0.976334
6582.1539 0.976337
6582.1522 0.976319
6582.1506 0.976125
6582.1490 0.976049
6582.1473 0.976246
6582.1457 0.976455
6582.1441 0.976412
6582.1424 0.976168
6582.1408 0.975954
6582.1392 0.975984
6582.1376 0.976311
6582.1359 0.976630
6582.1343 0.976557
6582.1327 0.976250
6582.1310 0.976114
6582.1294 0.976009
6582.1278 0.975688
6582.1261 0.975515
6582.1245 0.975765
6582.1229 0.976066
6582.1212 0.976220
6582.1196 0.976466
6582.1180 0.976701
6582.1163 0.976685
6582.1147 0.976761
6582.1131 0.977214
6582.1114 0.977572
6582.1098 0.977487
6582.1082 0.977357
6582.1065 0.977528
6582.1049 0.977863
6582.1033 0.978144
6582.1016 0.978178
6582.1000 0.977928
6582.0984 0.977803
6582.0967 0.978136
6582.0951 0.978624
6582.0935 0.978893
6582.0918 0.979011
6582.0902 0.979181
6582.0886 0.979473
6582.0870 0.979830
6582.0853 0.980101
6582.0837 0.980252
6582.0821 0.980388
6582.0804 0.980525
6582.0788 0.980651
6582.0772 0.980859
6582.0755 0.981104
6582.0739 0.981212
6582.0723 0.981287
6582.0706 0.981638
6582.0690 0.982172
6582.0674 0.982361
6582.0657 0.981992
6582.0641 0.981541
6582.0625 0.981510
6582.0608 0.981741
6582.0592 0.981752
6582.0576 0.981520
6582.0559 0.981470
6582.0543 0.981757
6582.0527 0.982054
6582.0510 0.982140
6582.0494 0.982175
6582.0478 0.982317
6582.0461 0.982525
6582.0445 0.982727
6582.0429 0.982881
6582.0412 0.982978
6582.0396 0.983036
6582.0380 0.983005
6582.0364 0.982862
6582.0347 0.982782
6582.0331 0.982900
6582.0315 0.983017
6582.0298 0.982881
6582.0282 0.982626
6582.0266 0.982546
6582.0249 0.982572
6582.0233 0.982460
6582.0217 0.982326
6582.0200 0.982389
6582.0184 0.982511
6582.0168 0.982486
6582.0151 0.982320
6582.0135 0.982100
6582.0119 0.981984
6582.0102 0.982027
6582.0086 0.981989
6582.0070 0.981803
6582.0053 0.981697
6582.0037 0.981587
6582.0021 0.981253
6582.0004 0.980952
6581.9988 0.980965
6581.9972 0.981073
6581.9955 0.981029
6581.9939 0.980928
6581.9923 0.980894
6581.9906 0.980854
6581.9890 0.980715
6581.9874 0.980513
6581.9858 0.980209
6581.9841 0.979738
6581.9825 0.979405
6581.9809 0.979519
6581.9792 0.979760
6581.9776 0.979719
6581.9760 0.979462
6581.9743 0.979116
6581.9727 0.978797
