# lambda/AA  F/Fc
6599.5249 0.995030
6599.5232 0.995006
6599.5216 0.994898
6599.5200 0.994850
6599.5183 0.994917
6599.5167 0.994866
6599.5150 0.994613
6599.5134 0.994517
6599.5117 0.994751
6599.5101 0.995042
6599.5085 0.995208
6599.5068 0.995305
6599.5052 0.995366
6599.5035 0.995337
6599.5019 0.995169
6599.5003 0.995001
6599.4986 0.995043
6599.4970 0.995157
6599.4953 0.995069
6599.4937 0.994875
6599.4921 0.994803
6599.4904 0.994906
6599.4888 0.995153
6599.4871 0.995358
6599.4855 0.995268
6599.4839 0.994990
6599.4822 0.994781
6599.4806 0.994634
6599.4789 0.994530
6599.4773 0.994571
6599.4756 0.994673
6599.4740 0.994674
6599.4724 0.994599
6599.4707 0.994503
6599.4691 0.994373
6599.4674 0.994210
6599.4658 0.993991
6599.4642 0.993755
6599.4625 0.993705
6599.4609 0.993853
6599.4592 0.993894
6599.4576 0.993744
6599.4560 0.993634
6599.4543 0.993539
6599.4527 0.993279
6599.4510 0.992990
6599.4494 0.992789
6599.4478 0.992488
6599.4461 0.992101
6599.4445 0.991896
6599.4428 0.991847
6599.4412 0.991732
6599.4396 0.991564
6599.4379 0.991423
6599.4363 0.991246
6599.4346 0.991035
6599.4330 0.990855
6599.4313 0.990569
6599.4297 0.990040
6599.4281 0.989536
6599.4264 0.989344
6599.4248 0.989179
6599.4231 0.988702
6599.4215 0.988182
6599.4199 0.987898
6599.4182 0.987641
6599.4166 0.987310
6599.4149 0.987093
6599.4133 0.986927
6599.4117 0.986503
6599.4100 0.985744
6599.4084 0.984944
6599.4067 0.984424
6599.4051 0.984058
6599.4035 0.983474
6599.4018 0.982737
6599.4002 0.982140
6599.3985 0.981596
6599.3969 0.980943
6599.3952 0.980276
6599.3936 0.979604
6599.3920 0.978828
6599.3903 0.977983
6599.3887 0.977076
6599.3870 0.976009
6599.3854 0.974823
6599.3838 0.973686
6599.3821 0.972609
6599.3805 0.971323
6599.3788 0.969727
6599.3772 0.968216
6599.3756 0.966968
6599.3739 0.965526
6599.3723 0.963749
6599.3706 0.962057
6599.3690 0.960430
6599.3674 0.958450
6599.3657 0.956054
6599.3641 0.953378
6599.3624 0.950567
6599.3608 0.947871
6599.3591 0.945265
6599.3575 0.942489
6599.3559 0.939515
6599.3542 0.936311
6599.3526 0.932722
6599.3509 0.928877
6599.3493 0.924956
6599.3477 0.920926
6599.3460 0.916871
6599.3444 0.912802
6599.3427 0.908415
6599.3411 0.903695
6599.3395 0.899030
6599.3378 0.894617
6599.3362 0.890365
6599.3345 0.886059
6599.3329 0.881518
6599.3313 0.876979
6599.3296 0.872777
6599.3280 0.868733
6599.3263 0.864732
6599.3247 0.861228
6599.3230 0.858517
6599.3214 0.856455
6599.3198 0.854962
6599.3181 0.853984
6599.3165 0.853424
6599.3148 0.853505
6599.3132 0.854601
6599.3116 0.856696
6599.3099 0.859452
6599.3083 0.862614
6599.3066 0.866108
6599.3050 0.869824
6599.3034 0.873588
6599.3017 0.877443
6599.3001 0.881541
6599.2984 0.885664
6599.2968 0.889463
6599.2952 0.893028
6599.2935 0.896665
6599.2919 0.900391
6599.2902 0.903917
6599.2886 0.907054
6599.2870 0.910079
6599.2853 0.913370
6599.2837 0.916730
6599.2820 0.919741
6599.2804 0.922431
6599.2787 0.925056
6599.2771 0.927855
6599.2755 0.930919
6599.2738 0.933820
6599.2722 0.936244
6599.2705 0.938761
6599.2689 0.941701
6599.2673 0.944427
6599.2656 0.946625
6599.2640 0.948673
6599.2623 0.950705
6599.2607 0.952721
6599.2591 0.954826
6599.2574 0.956793
6599.2558 0.958356
6599.2541 0.959667
6599.2525 0.960966
6599.2509 0.962367
6599.2492 0.963870
6599.2476 0.965305
6599.2459 0.966532
6599.2443 0.967487
6599.2426 0.968133
6599.2410 0.968775
6599.2394 0.969793
6599.2377 0.970971
6599.2361 0.971829
6599.2344 0.972272
