Wave;Sample;Dark;Reference
323.633;-5.250;5.026;0.000
323.801;-0.513;-1.219;0.000
323.968;6.632;6.546;0.000
324.136;-8.752;-9.918;0.000
324.303;-7.366;5.521;0.000
324.471;-11.146;-3.321;0.000
324.638;-4.084;-1.228;0.000
324.806;2.901;6.966;0.000
324.973;-14.214;9.647;0.000
325.141;-1.061;-3.428;0.000
325.308;16.040;6.545;0.000
325.476;0.218;8.638;0.000
325.643;-2.944;-8.062;0.000
325.811;1.759;-3.646;0.000
325.978;9.126;4.267;0.000
326.146;7.102;5.977;0.000
326.313;10.508;4.738;0.000
326.481;13.192;-1.231;0.000
326.648;1.690;4.075;0.000
326.816;2.474;-0.706;0.000
326.983;1.526;0.952;0.000
327.151;4.910;6.293;0.000
327.318;8.781;-6.622;0.000
327.486;3.117;-2.348;0.000
327.653;-3.812;-6.759;0.000
327.820;3.902;9.712;0.000
327.988;8.489;10.171;0.000
328.155;3.698;4.745;0.000
328.323;-2.153;-1.402;0.000
328.490;11.988;-3.607;0.000
328.657;8.101;0.556;0.000
328.825;-0.778;0.827;0.000
328.992;4.954;3.201;0.000
329.159;-0.551;-7.144;0.000
329.327;1.723;5.649;0.000
329.494;9.283;2.161;0.000
329.662;-3.797;5.224;0.000
329.829;15.200;3.153;0.000
329.996;6.165;6.017;0.000
330.164;9.853;2.315;0.000
330.331;26.780;2.833;0.000
330.498;17.794;-3.325;0.000
330.666;-4.511;2.336;0.000
330.833;-2.343;-7.516;0.000
331.000;0.088;-3.201;0.000
331.167;6.908;2.265;0.000
331.335;-2.257;-0.088;0.000
331.502;20.702;5.995;0.000
331.669;21.846;10.394;0.000
331.837;0.820;5.202;0.000
332.004;4.855;3.896;0.000
332.171;2.423;5.801;0.000
332.338;-2.378;9.784;0.000
332.506;7.122;3.303;0.000
332.673;-15.911;2.347;0.000
332.840;-2.926;-2.553;0.000
333.007;-3.688;-0.182;0.000
333.175;17.575;4.052;0.000
333.342;4.698;-1.963;0.000
333.509;10.182;-0.757;0.000
333.676;1.367;0.246;0.000
333.843;-10.353;-2.931;0.000
334.011;-3.098;14.272;0.000
334.178;-0.907;3.171;0.000
334.345;-0.887;2.334;0.000
334.512;23.405;11.231;0.000
334.679;-8.008;-2.676;0.000
334.847;-2.174;8.093;0.000
335.014;3.944;-4.970;0.000
335.181;1.898;-0.318;0.000
335.348;2.562;-0.069;0.000
335.515;-2.568;8.443;0.000
335.682;13.762;14.065;0.000
335.849;-3.162;-0.897;0.000
336.017;-7.174;0.061;0.000
336.184;-12.504;-3.167;0.000
336.351;-3.737;6.958;0.000
336.518;-3.104;1.412;0.000
336.685;8.004;6.027;0.000
336.852;3.505;3.680;0.000
337.019;24.153;12.937;0.000
337.186;-8.687;2.600;0.000
337.353;-7.320;-4.652;0.000
337.520;-0.137;-1.628;0.000
337.687;11.954;-0.627;0.000
337.854;7.664;4.853;0.000
338.022;-7.334;-6.036;0.000
338.189;3.075;3.397;0.000
338.356;-1.144;-4.819;0.000
338.523;2.869;2.351;0.000
338.690;4.259;2.498;0.000
338.857;7.608;2.320;0.000
339.024;-3.335;2.621;0.000
339.191;6.127;8.251;0.000
339.358;-1.102;2.574;0.000
339.525;-7.032;0.830;0.000
339.692;-3.804;-0.002;0.000
339.859;13.269;10.174;0.000
340.026;-11.137;3.688;0.000
340.193;-20.667;-8.211;0.000
340.360;10.748;1.337;0.000
340.527;16.680;9.155;0.000
340.694;-0.216;7.903;0.000
340.861;-6.424;8.276;0.000
341.027;-19.133;-9.907;0.000
341.194;21.512;9.467;0.000
341.361;4.847;3.497;0.000
341.528;-1.042;-2.715;0.000
341.695;3.443;2.257;0.000
341.862;13.437;9.042;0.000
342.029;1.347;-2.789;0.000
342.196;-7.954;3.935;0.000
342.363;3.617;8.200;0.000
342.530;-11.891;-1.197;0.000
342.697;31.446;5.086;0.000
342.863;1.223;6.243;0.000
343.030;-1.944;-5.914;0.000
343.197;7.871;15.965;0.000
343.364;-1.188;12.504;0.000
343.531;11.887;5.295;0.000
343.698;10.045;10.052;0.000
343.865;-3.990;-7.120;0.000
344.031;-23.541;-0.052;0.000
344.198;-4.402;-0.610;0.000
344.365;-0.839;-4.860;0.000
344.532;-3.510;-0.490;0.000
344.699;3.363;-0.285;0.000
344.866;7.000;2.232;0.000
345.032;-13.773;-3.025;0.000
345.199;19.805;17.428;0.000
345.366;13.413;6.200;0.000
345.533;-12.842;-2.238;0.000
345.699;2.506;2.874;0.000
345.866;-7.317;-6.454;0.000
346.033;9.291;7.367;0.000
346.200;-13.993;5.291;0.000
346.366;-1.095;-2.031;0.000
346.533;-13.311;3.266;0.000
346.700;3.765;3.508;0.000
346.867;-0.083;1.730;0.000
347.033;-6.152;-6.000;0.000
347.200;1.098;-3.574;0.000
347.367;5.908;6.053;0.000
347.534;10.751;7.843;0.000
347.700;2.431;6.653;0.000
347.867;-1.587;-8.223;0.000
348.034;0.188;1.619;0.000
348.200;-0.562;-2.967;0.000
348.367;6.261;6.336;0.000
348.534;3.143;2.372;0.000
348.700;-3.034;1.692;0.000
348.867;-2.883;1.155;0.000
349.034;-8.365;0.116;0.000
349.200;-6.197;3.427;0.000
349.367;-4.228;3.011;0.000
349.534;-13.420;3.969;0.000
349.700;26.789;3.006;0.000
349.867;22.735;4.989;0.000
350.033;6.653;-3.172;0.000
350.200;-6.925;-8.524;0.000
350.367;-3.342;2.222;0.000
350.533;12.217;8.835;0.000
350.700;-4.493;-0.642;0.000
350.866;-0.362;-0.626;0.000
351.033;-10.602;-2.419;0.000
351.200;-0.677;-0.585;0.000
351.366;1.244;6.401;0.000
351.533;4.274;-0.327;0.000
351.699;11.852;-4.158;0.000
351.866;-4.298;12.040;0.000
352.032;-4.274;-2.729;0.000
352.199;-7.804;0.710;0.000
352.365;0.555;-2.414;0.000
352.532;-10.720;3.936;0.000
352.698;-14.046;0.461;0.000
352.865;-10.208;0.076;0.000
353.031;-0.075;0.337;0.000
353.198;7.437;14.102;0.000
353.364;-20.660;-0.147;0.000
353.531;-3.377;0.485;0.000
353.697;-7.149;-6.649;0.000
353.864;-3.497;-0.806;0.000
354.030;-3.552;0.450;0.000
354.197;9.944;-0.419;0.000
354.363;16.709;5.702;0.000
354.530;16.365;6.477;0.000
354.696;-4.224;2.014;0.000
354.863;3.593;-3.704;0.000
355.029;10.617;-4.250;0.000
355.195;-9.722;-6.788;0.000
355.362;-6.181;3.236;0.000
355.528;-12.035;5.473;0.000
355.695;-0.855;4.845;0.000
355.861;-9.060;-1.157;0.000
356.027;11.437;7.102;0.000
356.194;-12.904;7.657;0.000
356.360;2.573;-8.173;0.000
356.527;9.790;11.962;0.000
356.693;-1.659;-4.401;0.000
356.859;6.239;5.186;0.000
357.026;-8.105;10.711;0.000
357.192;1.113;-0.874;0.000
357.358;2.682;-1.446;0.000
357.525;3.760;13.872;0.000
357.691;3.112;-3.303;0.000
357.857;3.020;-9.543;0.000
358.024;17.062;0.303;0.000
358.190;-0.118;-2.232;0.000
358.356;-3.171;12.642;0.000
358.523;-4.195;-1.492;0.000
358.689;2.213;-0.371;0.000
358.855;1.592;6.718;0.000
359.022;-0.515;7.397;0.000
359.188;-1.026;3.482;0.000
359.354;-5.017;-2.649;0.000
359.520;-12.071;-3.085;0.000
359.687;9.716;7.318;0.000
359.853;0.522;3.848;0.000
360.019;-13.033;7.989;0.000
360.185;-8.106;-3.257;0.000
360.352;0.003;6.218;0.000
360.518;-12.629;0.053;0.000
360.684;-3.823;4.537;0.000
360.850;4.375;2.239;0.000
361.016;5.606;10.062;0.000
361.183;-5.439;1.197;0.000
361.349;-4.888;0.443;0.000
361.515;7.520;9.377;0.000
361.681;2.482;6.752;0.000
361.847;1.751;4.257;0.000
362.014;-5.341;-5.955;0.000
362.180;14.363;3.393;0.000
362.346;-9.031;0.620;0.000
362.512;1.889;5.163;0.000
362.678;-1.583;4.864;0.000
362.844;1.039;3.285;0.000
363.010;9.312;3.121;0.000
363.177;7.938;-5.767;0.000
363.343;-3.060;1.851;0.000
363.509;2.182;11.167;0.000
363.675;-5.002;0.027;0.000
363.841;14.165;9.672;0.000
364.007;-0.390;-5.654;0.000
364.173;-0.245;-2.249;0.000
364.339;15.824;10.536;0.000
364.505;5.100;2.998;0.000
364.671;-9.123;-4.369;0.000
364.838;15.165;3.993;0.000
365.004;19.100;2.718;0.000
365.170;2.040;-0.673;0.000
365.336;-1.620;4.225;0.000
365.502;-1.124;-0.958;0.000
365.668;5.358;3.601;0.000
365.834;1.500;3.331;0.000
366.000;-15.393;-6.845;0.000
366.166;6.161;-2.558;0.000
366.332;-4.008;7.626;0.000
366.498;-3.255;-2.112;0.000
366.664;0.173;12.446;0.000
366.830;-4.573;-1.005;0.000
366.996;-0.744;0.412;0.000
367.162;6.637;2.681;0.000
367.328;0.237;-4.106;0.000
367.494;8.397;8.126;0.000
367.660;-10.941;4.491;0.000
367.826;-10.831;0.435;0.000
367.992;3.345;-2.731;0.000
368.158;72.121;34.698;0.000
368.323;-11.900;-3.388;0.000
368.489;0.277;-1.066;0.000
368.655;-4.235;10.424;0.000
368.821;6.639;-2.521;0.000
368.987;-0.264;-1.521;0.000
369.153;3.615;6.973;0.000
369.319;7.756;1.875;0.000
369.485;-14.216;-3.333;0.000
369.651;12.523;7.938;0.000
369.817;-10.110;2.132;0.000
369.982;-1.190;0.248;0.000
370.148;-1.718;4.174;0.000
370.314;8.649;0.796;0.000
370.480;19.135;10.299;0.000
370.646;-8.461;1.708;0.000
370.812;-0.650;-5.001;0.000
370.978;-2.366;-1.673;0.000
371.143;12.427;12.022;0.000
371.309;-2.140;3.006;0.000
371.475;1.472;2.892;0.000
371.641;4.671;1.298;0.000
371.807;8.537;7.480;0.000
371.972;-1.797;0.639;0.000
372.138;-2.942;4.875;0.000
372.304;-0.363;1.239;0.000
372.470;4.825;9.834;0.000
372.636;4.689;-2.852;0.000
372.801;-19.067;0.656;0.000
372.967;5.849;-0.547;0.000
373.133;-1.719;17.460;0.000
373.299;5.169;13.544;0.000
373.464;13.865;9.558;0.000
373.630;1.622;-4.361;0.000
373.796;-8.136;-1.146;0.000
373.961;11.914;8.770;0.000
374.127;8.268;-6.716;0.000
374.293;-3.343;-4.676;0.000
374.459;2.654;2.404;0.000
374.624;10.171;-8.773;0.000
374.790;5.086;0.444;0.000
374.956;11.281;-2.239;0.000
375.121;-0.609;7.947;0.000
375.287;8.766;4.978;0.000
375.453;-5.215;-6.883;0.000
375.618;-3.307;7.762;0.000
375.784;11.573;11.225;0.000
375.950;-4.972;7.847;0.000
376.115;29.948;1.179;0.000
376.281;-1.072;3.727;0.000
376.447;-0.388;4.829;0.000
376.612;-2.660;8.471;0.000
376.778;27.841;3.218;0.000
376.943;-12.427;-0.681;0.000
377.109;1.266;5.057;0.000
377.275;-12.954;-6.047;0.000
377.440;3.880;3.044;0.000
377.606;-10.133;-5.677;0.000
377.771;0.988;6.025;0.000
377.937;-0.008;3.984;0.000
378.102;7.909;2.470;0.000
378.268;-12.514;0.803;0.000
378.434;2.453;4.448;0.000
378.599;-11.142;9.405;0.000
378.765;-3.779;5.345;0.000
378.930;13.139;1.158;0.000
379.096;1.303;-8.192;0.000
379.261;-2.159;0.403;0.000
379.427;12.257;15.993;0.000
379.592;1.523;4.730;0.000
379.758;0.816;7.187;0.000
379.923;2.868;2.718;0.000
380.089;10.105;7.270;0.000
380.254;-3.381;3.669;0.000
380.420;-2.687;5.997;0.000
380.585;7.121;-1.119;0.000
380.751;-5.305;15.407;0.000
380.916;3.250;6.599;0.000
381.081;4.548;6.700;0.000
381.247;-8.145;-1.583;0.000
381.412;17.422;4.799;0.000
381.578;2.482;2.149;0.000
381.743;4.201;5.195;0.000
381.909;3.088;6.588;0.000
382.074;3.091;9.734;0.000
382.239;-13.919;-7.382;0.000
382.405;0.674;4.061;0.000
382.570;-6.811;-0.569;0.000
382.736;-4.934;3.967;0.000
382.901;2.552;4.489;0.000
383.066;2.557;3.687;0.000
383.232;8.726;6.511;0.000
383.397;-1.296;3.765;0.000
383.562;-8.881;-0.260;0.000
383.728;2.201;2.944;0.000
383.893;9.874;-2.795;0.000
384.058;-1.726;-0.637;0.000
384.224;2.801;4.217;0.000
384.389;1.716;0.454;0.000
384.554;-4.906;1.439;0.000
384.720;4.576;6.156;0.000
384.885;-8.512;5.205;0.000
385.050;8.677;8.874;0.000
385.216;-2.364;4.692;0.000
385.381;15.653;10.768;0.000
385.546;7.162;0.932;0.000
385.711;5.676;-1.318;0.000
385.877;-3.753;-3.716;0.000
386.042;7.257;3.855;0.000
386.207;1.692;-0.217;0.000
386.372;-0.708;7.809;0.000
386.538;-1.307;-0.519;0.000
386.703;-21.464;-4.507;0.000
386.868;4.518;-1.679;0.000
387.033;2.469;-0.898;0.000
387.199;8.932;4.076;0.000
387.364;-12.019;-1.127;0.000
387.529;-0.925;6.838;0.000
387.694;5.643;5.953;0.000
387.859;-12.472;0.430;0.000
388.024;-3.672;-8.072;0.000
388.190;3.914;-1.128;0.000
388.355;-5.113;10.670;0.000
388.520;-0.129;0.422;0.000
388.685;-4.776;1.657;0.000
388.850;-2.091;1.067;0.000
389.015;6.669;1.215;0.000
389.181;-2.631;1.682;0.000
389.346;-5.560;4.750;0.000
389.511;-6.677;9.926;0.000
389.676;10.995;3.144;0.000
389.841;15.006;9.784;0.000
390.006;-6.278;-2.005;0.000
390.171;12.894;4.889;0.000
390.336;4.794;4.022;0.000
390.501;5.051;3.499;0.000
390.666;-1.696;1.146;0.000
390.832;4.992;2.757;0.000
390.997;-7.534;2.316;0.000
391.162;12.427;6.435;0.000
391.327;-0.127;-0.466;0.000
391.492;-12.861;1.295;0.000
391.657;1.700;-8.823;0.000
391.822;-10.386;-3.475;0.000
391.987;-12.890;3.845;0.000
392.152;1.680;-7.314;0.000
392.317;4.454;4.542;0.000
392.482;-3.375;-5.112;0.000
392.647;1.911;-1.818;0.000
392.812;0.138;7.629;0.000
392.977;1.294;15.911;0.000
393.142;-8.578;-1.726;0.000
393.307;3.722;1.279;0.000
393.472;-12.346;4.429;0.000
393.637;-3.437;-2.801;0.000
393.802;-4.963;-1.908;0.000
393.967;-5.011;-1.103;0.000
394.132;11.272;3.278;0.000
394.296;15.823;11.975;0.000
