V(V): 0.0002	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0183K
1.224800E+1	-8.750000E-1	8.445000E-14
1.234400E+1	-8.740000E-1	-6.335000E-14
1.244000E+1	-8.730000E-1	1.953000E-13
1.253700E+1	-8.720000E-1	6.335000E-14
1.263400E+1	-8.710000E-1	2.903000E-13
1.273300E+1	-8.700000E-1	6.597000E-13
1.283200E+1	-8.690000E-1	1.055000E-14
1.292900E+1	-8.680000E-1	-1.266650E-12
1.302800E+1	-8.670000E-1	1.478000E-13
1.312500E+1	-8.660000E-1	2.005500E-13
1.322400E+1	-8.650000E-1	4.064000E-13
1.332200E+1	-8.640000E-1	-5.300000E-15
1.341800E+1	-8.630000E-1	2.058500E-13
1.351600E+1	-8.620000E-1	2.744500E-13
1.361400E+1	-8.610000E-1	2.903000E-13
1.371300E+1	-8.600000E-1	3.536000E-13
1.381000E+1	-8.590000E-1	1.478000E-13
1.390700E+1	-8.580000E-1	4.064000E-13
1.400400E+1	-8.570000E-1	1.741500E-13
1.410100E+1	-8.560000E-1	1.689000E-13
1.420000E+1	-8.550000E-1	-1.182200E-12
1.429800E+1	-8.540000E-1	2.058500E-13
1.439700E+1	-8.530000E-1	4.697000E-13
1.449500E+1	-8.520000E-1	4.064000E-13
1.459100E+1	-8.510000E-1	2.797000E-13
1.468700E+1	-8.500000E-1	8.445000E-14
1.478200E+1	-8.490000E-1	2.428000E-13
1.487900E+1	-8.480000E-1	1.003000E-13
1.497700E+1	-8.470000E-1	1.361650E-12
1.507400E+1	-8.460000E-1	-5.300000E-15
1.517000E+1	-8.450000E-1	2.480500E-13
1.526700E+1	-8.440000E-1	-2.005500E-13
1.536400E+1	-8.430000E-1	1.689000E-13
1.546000E+1	-8.420000E-1	4.750000E-14
1.555800E+1	-8.410000E-1	4.328000E-13
1.565600E+1	-8.400000E-1	1.425000E-13
1.575100E+1	-8.390000E-1	4.116500E-13
1.585000E+1	-8.380000E-1	1.847000E-13
1.594600E+1	-8.370000E-1	4.750000E-13
1.604400E+1	-8.360000E-1	1.900000E-13
1.614000E+1	-8.350000E-1	4.644500E-13
1.624000E+1	-8.340000E-1	2.322000E-13
1.633800E+1	-8.330000E-1	1.689000E-13
1.643700E+1	-8.320000E-1	2.903000E-13
1.653400E+1	-8.310000E-1	1.161000E-13
1.663100E+1	-8.300000E-1	1.425000E-13
1.673000E+1	-8.290000E-1	6.439000E-13
1.682800E+1	-8.280000E-1	3.483500E-13
1.692400E+1	-8.270000E-1	2.058500E-13
1.702200E+1	-8.260000E-1	2.375000E-13
1.712000E+1	-8.250000E-1	3.853000E-13
1.721900E+1	-8.240000E-1	-1.055000E-14
1.731600E+1	-8.230000E-1	1.583500E-13
1.741400E+1	-8.220000E-1	2.903000E-13
1.751100E+1	-8.210000E-1	5.280000E-14
1.760700E+1	-8.200000E-1	2.586000E-13
1.770400E+1	-8.190000E-1	1.319500E-13
1.780100E+1	-8.180000E-1	2.164000E-13
1.789900E+1	-8.170000E-1	5.225000E-13
1.799600E+1	-8.160000E-1	5.280000E-14
1.809300E+1	-8.150000E-1	7.336000E-13
1.819100E+1	-8.140000E-1	1.585000E-14
1.828800E+1	-8.130000E-1	6.386000E-13
1.838900E+1	-8.120000E-1	4.803000E-13
1.848500E+1	-8.110000E-1	4.803000E-13
1.858100E+1	-8.100000E-1	3.641500E-13
1.867800E+1	-8.090000E-1	-6.860000E-14
1.877400E+1	-8.080000E-1	2.058500E-13
1.887000E+1	-8.070000E-1	1.530500E-13
1.896700E+1	-8.060000E-1	3.695000E-14
1.906400E+1	-8.050000E-1	6.335000E-14
1.916300E+1	-8.040000E-1	1.953000E-13
1.926000E+1	-8.030000E-1	8.445000E-14
1.935700E+1	-8.020000E-1	6.860999E-13
1.945500E+1	-8.010000E-1	1.847000E-13
1.955300E+1	-8.000000E-1	5.805500E-13
1.965100E+1	-7.990000E-1	6.491500E-13
1.974700E+1	-7.980000E-1	5.066500E-13
1.984500E+1	-7.970000E-1	3.114000E-13
1.994200E+1	-7.960000E-1	1.214000E-13
2.003800E+1	-7.950000E-1	6.280500E-13
2.013800E+1	-7.940000E-1	1.847000E-13
2.023400E+1	-7.930000E-1	1.002800E-12
2.033000E+1	-7.920000E-1	4.697200E-12
2.042600E+1	-7.910000E-1	1.141580E-11
2.052400E+1	-7.900000E-1	1.477245E-11
2.062200E+1	-7.890000E-1	1.533720E-11
2.072100E+1	-7.880000E-1	1.602855E-11
2.082000E+1	-7.870000E-1	1.622915E-11
2.091800E+1	-7.860000E-1	1.724245E-11
2.101500E+1	-7.850000E-1	1.738495E-11
2.111300E+1	-7.840000E-1	1.542165E-11
2.121000E+1	-7.830000E-1	9.119999E-12
2.130700E+1	-7.820000E-1	2.670550E-12
2.140400E+1	-7.810000E-1	9.025000E-13
2.150000E+1	-7.800000E-1	1.583500E-13
2.159800E+1	-7.790000E-1	1.372000E-13
2.169500E+1	-7.780000E-1	1.689000E-13
2.179300E+1	-7.770000E-1	6.914000E-13
2.189000E+1	-7.760000E-1	1.583500E-13
2.198600E+1	-7.750000E-1	2.850000E-13
2.208500E+1	-7.740000E-1	1.214000E-13
2.218100E+1	-7.730000E-1	6.491500E-13
2.228000E+1	-7.720000E-1	4.803000E-13
2.237700E+1	-7.710000E-1	3.853000E-13
2.247500E+1	-7.700000E-1	1.161000E-13
2.257100E+1	-7.690000E-1	1.108500E-13
2.267000E+1	-7.680000E-1	1.372000E-13
2.276700E+1	-7.670000E-1	-4.750000E-14
2.286600E+1	-7.660000E-1	5.804999E-14
2.296200E+1	-7.650000E-1	5.436000E-13
2.306000E+1	-7.640000E-1	2.322000E-13
2.315600E+1	-7.630000E-1	4.380500E-13
2.325100E+1	-7.620000E-1	2.428000E-13
2.334700E+1	-7.610000E-1	2.480500E-13
2.344500E+1	-7.600000E-1	4.433500E-13
2.354400E+1	-7.590000E-1	5.066500E-13
2.364100E+1	-7.580000E-1	2.216500E-13
2.373700E+1	-7.570000E-1	0.000000E+0
2.383400E+1	-7.560000E-1	1.689000E-13
2.393300E+1	-7.550000E-1	0.000000E+0
2.403000E+1	-7.540000E-1	1.900000E-13
2.412600E+1	-7.530000E-1	2.322000E-13
2.422400E+1	-7.520000E-1	2.533500E-13
2.432100E+1	-7.510000E-1	1.847000E-13
2.441800E+1	-7.500000E-1	6.860000E-14
2.451500E+1	-7.490000E-1	5.858499E-13
2.461200E+1	-7.480000E-1	3.166500E-13
2.470900E+1	-7.470000E-1	1.689000E-13
2.480700E+1	-7.460000E-1	3.166500E-13
2.490500E+1	-7.450000E-1	3.853000E-13
2.500200E+1	-7.440000E-1	6.860000E-14
2.510000E+1	-7.430000E-1	4.220000E-14
2.519700E+1	-7.420000E-1	0.000000E+0
2.529600E+1	-7.410000E-1	1.478000E-13
2.539400E+1	-7.400000E-1	4.220000E-14
2.549100E+1	-7.390000E-1	1.636000E-13
2.558700E+1	-7.380000E-1	2.322000E-13
2.568400E+1	-7.370000E-1	4.116500E-13
2.578200E+1	-7.360000E-1	3.165000E-14
2.587800E+1	-7.350000E-1	3.325000E-13
2.597500E+1	-7.340000E-1	2.005500E-13
2.607200E+1	-7.330000E-1	2.744500E-13
2.617000E+1	-7.320000E-1	1.556950E-12
2.626700E+1	-7.310000E-1	5.225000E-12
2.636400E+1	-7.300000E-1	1.360080E-11
2.646000E+1	-7.290000E-1	1.850385E-11
2.655600E+1	-7.280000E-1	1.946440E-11
2.665500E+1	-7.270000E-1	2.000275E-11
2.675100E+1	-7.260000E-1	1.953830E-11
2.684900E+1	-7.250000E-1	1.974410E-11
2.694800E+1	-7.240000E-1	1.949080E-11
2.704500E+1	-7.230000E-1	1.858830E-11
2.714100E+1	-7.220000E-1	1.389635E-11
2.723900E+1	-7.210000E-1	6.787200E-12
2.733600E+1	-7.200000E-1	1.541100E-12
2.743200E+1	-7.190000E-1	4.803000E-13
2.752900E+1	-7.180000E-1	4.750000E-14
2.762700E+1	-7.170000E-1	4.486000E-13
2.772300E+1	-7.160000E-1	-1.583500E-13
2.782300E+1	-7.150000E-1	4.644500E-13
2.792000E+1	-7.140000E-1	2.586000E-13
2.801800E+1	-7.130000E-1	-1.847000E-13
2.811600E+1	-7.120000E-1	3.800000E-13
2.821200E+1	-7.110000E-1	4.328000E-13
2.830800E+1	-7.100000E-1	5.804999E-14
2.840600E+1	-7.090000E-1	3.694500E-13
2.850300E+1	-7.080000E-1	4.750000E-14
2.860000E+1	-7.070000E-1	1.847000E-13
2.869700E+1	-7.060000E-1	1.953000E-13
2.879300E+1	-7.050000E-1	7.125000E-13
2.889100E+1	-7.040000E-1	5.804999E-14
2.899000E+1	-7.030000E-1	1.794500E-13
2.908700E+1	-7.020000E-1	3.166500E-13
2.918400E+1	-7.010000E-1	4.169500E-13
2.928100E+1	-7.000000E-1	-2.110000E-14
2.937800E+1	-6.990000E-1	6.335000E-14
2.947500E+1	-6.980000E-1	5.330499E-13
2.957500E+1	-6.970000E-1	1.108500E-13
2.967400E+1	-6.960000E-1	5.594500E-13
2.977100E+1	-6.950000E-1	3.166500E-13
2.986800E+1	-6.940000E-1	1.214000E-13
2.996400E+1	-6.930000E-1	1.794500E-13
3.006000E+1	-6.920000E-1	1.425000E-13
3.015800E+1	-6.910000E-1	5.300000E-15
3.025700E+1	-6.900000E-1	2.269500E-13
3.035800E+1	-6.890000E-1	1.900000E-13
3.045600E+1	-6.880000E-1	1.741500E-13
3.055100E+1	-6.870000E-1	9.078000E-13
3.064800E+1	-6.860000E-1	5.594500E-13
3.074600E+1	-6.850000E-1	1.794500E-13
3.084200E+1	-6.840000E-1	2.111000E-13
3.094100E+1	-6.830000E-1	1.003000E-13
3.103800E+1	-6.820000E-1	4.328000E-13
3.113500E+1	-6.810000E-1	2.639000E-13
3.123400E+1	-6.800000E-1	1.266500E-13
3.133100E+1	-6.790000E-1	5.858499E-13
3.142900E+1	-6.780000E-1	-1.583500E-13
3.152500E+1	-6.770000E-1	1.372000E-13
3.162400E+1	-6.760000E-1	4.803000E-13
3.172100E+1	-6.750000E-1	-1.319500E-13
3.181700E+1	-6.740000E-1	6.228000E-13
3.191500E+1	-6.730000E-1	2.955500E-13
3.201300E+1	-6.720000E-1	2.164000E-13
3.211100E+1	-6.710000E-1	2.586000E-13
3.220900E+1	-6.700000E-1	2.533500E-13
3.230800E+1	-6.690000E-1	2.744500E-13
3.240500E+1	-6.680000E-1	2.269500E-13
3.250200E+1	-6.670000E-1	6.544500E-13
3.259800E+1	-6.660000E-1	2.533500E-13
3.269600E+1	-6.650000E-1	1.585000E-14
3.279400E+1	-6.640000E-1	-2.744500E-13
3.289300E+1	-6.630000E-1	5.171999E-13
3.299200E+1	-6.620000E-1	2.137500E-12
3.309000E+1	-6.610000E-1	7.035250E-12
3.318800E+1	-6.600000E-1	1.096720E-11
3.328600E+1	-6.590000E-1	1.204385E-11
3.338300E+1	-6.580000E-1	1.230245E-11
3.348000E+1	-6.570000E-1	1.212305E-11
3.357700E+1	-6.560000E-1	1.234470E-11
3.367600E+1	-6.550000E-1	1.244495E-11
3.377500E+1	-6.540000E-1	1.191720E-11
3.387300E+1	-6.530000E-1	1.092495E-11
3.397000E+1	-6.520000E-1	7.051100E-12
3.406700E+1	-6.510000E-1	2.084700E-12
3.416500E+1	-6.500000E-1	5.171999E-13
3.426200E+1	-6.490000E-1	5.964000E-13
3.436000E+1	-6.480000E-1	4.222000E-13
3.445600E+1	-6.470000E-1	7.915000E-14
3.455400E+1	-6.460000E-1	1.900000E-13
3.465300E+1	-6.450000E-1	2.111000E-13
3.475000E+1	-6.440000E-1	5.300000E-15
3.484600E+1	-6.430000E-1	3.325000E-13
3.494300E+1	-6.420000E-1	4.539000E-13
3.504100E+1	-6.410000E-1	-3.483500E-13
3.513700E+1	-6.400000E-1	-2.005500E-13
3.523400E+1	-6.390000E-1	0.000000E+0
3.533100E+1	-6.380000E-1	2.586000E-13
3.543000E+1	-6.370000E-1	-1.108500E-13
3.552800E+1	-6.360000E-1	4.328000E-13
3.562600E+1	-6.350000E-1	3.272000E-13
3.572300E+1	-6.340000E-1	-4.750000E-14
3.582200E+1	-6.330000E-1	2.216500E-13
3.592000E+1	-6.320000E-1	8.444500E-13
3.601800E+1	-6.310000E-1	2.058500E-13
3.611600E+1	-6.300000E-1	1.583500E-13
3.621400E+1	-6.290000E-1	4.275000E-13
3.631000E+1	-6.280000E-1	2.586000E-13
3.640700E+1	-6.270000E-1	3.958500E-13
3.650500E+1	-6.260000E-1	-1.585000E-14
3.660300E+1	-6.250000E-1	1.003000E-13
3.670000E+1	-6.240000E-1	4.275000E-13
3.679600E+1	-6.230000E-1	-8.445000E-14
3.689400E+1	-6.220000E-1	1.585000E-14
3.699200E+1	-6.210000E-1	-3.430500E-13
3.709100E+1	-6.200000E-1	4.116500E-13
3.719000E+1	-6.190000E-1	-4.220000E-14
3.728800E+1	-6.180000E-1	2.375000E-13
3.738600E+1	-6.170000E-1	2.691500E-13
3.748200E+1	-6.160000E-1	5.964000E-13
3.758000E+1	-6.150000E-1	2.111000E-13
3.767600E+1	-6.140000E-1	3.641500E-13
3.777300E+1	-6.130000E-1	2.375000E-13
3.787100E+1	-6.120000E-1	4.697000E-13
3.796800E+1	-6.110000E-1	2.322000E-13
3.806500E+1	-6.100000E-1	5.014000E-13
3.816400E+1	-6.090000E-1	2.744500E-13
3.826100E+1	-6.080000E-1	2.375000E-13
3.835800E+1	-6.070000E-1	5.804999E-14
3.845600E+1	-6.060000E-1	4.433500E-13
3.855400E+1	-6.050000E-1	-1.689000E-13
3.865300E+1	-6.040000E-1	-2.533500E-13
3.875300E+1	-6.030000E-1	5.225000E-13
3.885100E+1	-6.020000E-1	2.380250E-12
3.895000E+1	-6.010000E-1	9.748050E-12
3.904900E+1	-6.000000E-1	2.274190E-11
3.914500E+1	-5.990000E-1	2.834685E-11
3.924300E+1	-5.980000E-1	2.873215E-11
3.933900E+1	-5.970000E-1	2.887465E-11
3.943600E+1	-5.960000E-1	2.912270E-11
3.953400E+1	-5.950000E-1	2.917020E-11
3.963100E+1	-5.940000E-1	2.842605E-11
3.972900E+1	-5.930000E-1	2.391355E-11
3.982600E+1	-5.920000E-1	1.167440E-11
3.992200E+1	-5.910000E-1	2.755000E-12
4.002000E+1	-5.900000E-1	4.169500E-13
4.011600E+1	-5.890000E-1	3.219500E-13
4.021400E+1	-5.880000E-1	1.425000E-13
4.031200E+1	-5.870000E-1	-1.266500E-13
4.041100E+1	-5.860000E-1	4.750000E-14
4.050700E+1	-5.850000E-1	4.750000E-14
4.060400E+1	-5.840000E-1	6.755500E-13
4.070200E+1	-5.830000E-1	1.003000E-13
4.080000E+1	-5.820000E-1	6.860000E-14
4.089800E+1	-5.810000E-1	1.214000E-13
4.099600E+1	-5.800000E-1	7.915000E-14
4.109200E+1	-5.790000E-1	2.269500E-13
4.119000E+1	-5.780000E-1	2.110000E-14
4.128800E+1	-5.770000E-1	3.694500E-13
4.138600E+1	-5.760000E-1	1.689000E-13
4.148300E+1	-5.750000E-1	-1.585000E-14
4.158100E+1	-5.740000E-1	1.003000E-13
4.167700E+1	-5.730000E-1	6.335000E-14
4.177400E+1	-5.720000E-1	2.480500E-13
