V(V): 0.0002	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0185K
1.400000E-2	-3.500000E-1	1.478000E-13
1.830000E-1	-3.498000E-1	2.375000E-13
2.800000E-1	-3.496000E-1	2.375000E-13
3.780000E-1	-3.494000E-1	7.915000E-14
4.750000E-1	-3.492000E-1	2.955500E-13
5.710000E-1	-3.490000E-1	1.636000E-13
6.700000E-1	-3.488000E-1	1.794500E-13
7.670000E-1	-3.486000E-1	2.110000E-14
8.640000E-1	-3.484000E-1	4.275000E-13
9.620000E-1	-3.482000E-1	3.061000E-13
1.060000E+0	-3.480000E-1	4.697000E-13
1.159000E+0	-3.478000E-1	3.800000E-13
1.256000E+0	-3.476000E-1	-1.372000E-13
1.355000E+0	-3.474000E-1	1.530500E-13
1.451000E+0	-3.472000E-1	1.583500E-13
1.547000E+0	-3.470000E-1	2.480500E-13
1.645000E+0	-3.468000E-1	2.480500E-13
1.741000E+0	-3.466000E-1	1.319500E-13
1.837000E+0	-3.464000E-1	3.114000E-13
1.934000E+0	-3.462000E-1	1.266500E-13
2.033000E+0	-3.460000E-1	2.480500E-13
2.131000E+0	-3.458000E-1	1.741500E-13
2.229000E+0	-3.456000E-1	2.955500E-13
2.327000E+0	-3.454000E-1	2.216500E-13
2.425000E+0	-3.452000E-1	3.165000E-14
2.521000E+0	-3.450000E-1	1.214000E-13
2.617000E+0	-3.448000E-1	2.533500E-13
2.716000E+0	-3.446000E-1	1.900000E-13
2.815000E+0	-3.444000E-1	-1.319500E-13
2.913000E+0	-3.442000E-1	2.216500E-13
3.010000E+0	-3.440000E-1	3.114000E-13
3.106000E+0	-3.438000E-1	3.536000E-13
3.202000E+0	-3.436000E-1	2.005500E-13
3.300000E+0	-3.434000E-1	4.380500E-13
3.398000E+0	-3.432000E-1	9.500000E-14
3.495000E+0	-3.430000E-1	-4.220000E-14
3.592000E+0	-3.428000E-1	3.008500E-13
3.690000E+0	-3.426000E-1	1.953000E-13
3.788000E+0	-3.424000E-1	3.166500E-13
3.885000E+0	-3.422000E-1	3.325000E-13
3.981000E+0	-3.420000E-1	2.955500E-13
4.078000E+0	-3.418000E-1	5.805500E-13
4.175000E+0	-3.416000E-1	3.166500E-13
4.270000E+0	-3.414000E-1	3.589000E-13
4.366000E+0	-3.412000E-1	2.903000E-13
4.462000E+0	-3.410000E-1	2.744500E-13
4.560000E+0	-3.408000E-1	5.804999E-14
4.657000E+0	-3.406000E-1	2.533500E-13
4.754000E+0	-3.404000E-1	4.591500E-13
4.850000E+0	-3.402000E-1	-5.300000E-15
4.946000E+0	-3.400000E-1	2.005500E-13
5.042000E+0	-3.398000E-1	2.428000E-13
5.141000E+0	-3.396000E-1	3.641500E-13
5.238000E+0	-3.394000E-1	9.500000E-14
5.336000E+0	-3.392000E-1	6.335000E-14
5.433000E+0	-3.390000E-1	1.636000E-13
5.531000E+0	-3.388000E-1	4.116500E-13
5.629000E+0	-3.386000E-1	5.014000E-13
5.726000E+0	-3.384000E-1	2.164000E-13
5.822000E+0	-3.382000E-1	6.228000E-13
5.920000E+0	-3.380000E-1	4.644500E-13
6.018000E+0	-3.378000E-1	3.483500E-13
6.114000E+0	-3.376000E-1	3.166500E-13
6.210000E+0	-3.374000E-1	2.058500E-13
6.307000E+0	-3.372000E-1	1.689000E-13
6.404000E+0	-3.370000E-1	1.478000E-13
6.500000E+0	-3.368000E-1	4.486000E-13
6.597000E+0	-3.366000E-1	1.689000E-13
6.693000E+0	-3.364000E-1	2.850000E-13
6.792000E+0	-3.362000E-1	2.797000E-13
6.888000E+0	-3.360000E-1	3.747000E-13
6.985000E+0	-3.358000E-1	5.280000E-14
7.084000E+0	-3.356000E-1	-7.915000E-14
7.184000E+0	-3.354000E-1	3.695000E-14
7.281000E+0	-3.352000E-1	2.639000E-13
7.380000E+0	-3.350000E-1	3.166500E-13
7.478000E+0	-3.348000E-1	3.272000E-13
7.576000E+0	-3.346000E-1	1.319500E-13
7.673000E+0	-3.344000E-1	2.903000E-13
7.770000E+0	-3.342000E-1	3.958500E-13
7.868000E+0	-3.340000E-1	8.970000E-14
7.966000E+0	-3.338000E-1	4.328000E-13
8.062000E+0	-3.336000E-1	5.066500E-13
8.160000E+0	-3.334000E-1	1.425000E-13
8.256000E+0	-3.332000E-1	4.591500E-13
8.353000E+0	-3.330000E-1	1.108500E-13
8.451000E+0	-3.328000E-1	1.425000E-13
8.548000E+0	-3.326000E-1	6.860000E-14
8.647000E+0	-3.324000E-1	3.219500E-13
8.743000E+0	-3.322000E-1	4.064000E-13
8.840000E+0	-3.320000E-1	3.114000E-13
8.937000E+0	-3.318000E-1	5.964000E-13
9.033000E+0	-3.316000E-1	3.747000E-13
9.133000E+0	-3.314000E-1	3.641500E-13
9.230000E+0	-3.312000E-1	2.586000E-13
9.326000E+0	-3.310000E-1	1.900000E-13
9.423000E+0	-3.308000E-1	2.639000E-13
9.520000E+0	-3.306000E-1	3.166500E-13
9.616000E+0	-3.304000E-1	-8.970000E-14
9.715000E+0	-3.302000E-1	2.480500E-13
9.813000E+0	-3.300000E-1	2.850000E-13
9.910000E+0	-3.298000E-1	1.425000E-13
1.000700E+1	-3.296000E-1	6.016500E-13
1.010400E+1	-3.294000E-1	2.058500E-13
1.020000E+1	-3.292000E-1	4.328000E-13
1.029600E+1	-3.290000E-1	-9.500000E-14
1.039400E+1	-3.288000E-1	1.689000E-13
1.049100E+1	-3.286000E-1	2.375000E-13
1.059000E+1	-3.284000E-1	3.061000E-13
1.068800E+1	-3.282000E-1	3.483500E-13
1.078700E+1	-3.280000E-1	5.330499E-13
1.088500E+1	-3.278000E-1	4.644500E-13
1.098400E+1	-3.276000E-1	2.005500E-13
1.108100E+1	-3.274000E-1	5.119500E-13
1.117700E+1	-3.272000E-1	3.483500E-13
1.127300E+1	-3.270000E-1	4.220000E-14
1.137000E+1	-3.268000E-1	1.214000E-13
1.146800E+1	-3.266000E-1	1.900000E-13
1.156500E+1	-3.264000E-1	2.903000E-13
1.166100E+1	-3.262000E-1	1.214000E-13
1.175700E+1	-3.260000E-1	2.005500E-13
1.185600E+1	-3.258000E-1	8.970000E-14
1.195200E+1	-3.256000E-1	-3.165000E-14
1.204900E+1	-3.254000E-1	4.750000E-13
1.214800E+1	-3.252000E-1	3.325000E-13
1.224500E+1	-3.250000E-1	5.647000E-13
1.234400E+1	-3.248000E-1	7.811000E-13
1.244100E+1	-3.246000E-1	9.869500E-13
1.253800E+1	-3.244000E-1	8.761000E-13
1.263700E+1	-3.242000E-1	1.995000E-12
1.273300E+1	-3.240000E-1	3.926650E-12
1.283100E+1	-3.238000E-1	5.731650E-12
1.292800E+1	-3.236000E-1	8.365250E-12
1.302700E+1	-3.234000E-1	9.653050E-12
1.312600E+1	-3.232000E-1	1.567495E-11
1.322200E+1	-3.230000E-1	1.834025E-11
1.331900E+1	-3.228000E-1	2.491635E-11
1.341600E+1	-3.226000E-1	3.244240E-11
1.351300E+1	-3.224000E-1	3.598380E-11
1.361000E+1	-3.222000E-1	4.100295E-11
1.370900E+1	-3.220000E-1	4.624905E-11
1.380600E+1	-3.218000E-1	4.762655E-11
1.390300E+1	-3.216000E-1	4.909905E-11
1.400100E+1	-3.214000E-1	5.095680E-11
1.409800E+1	-3.212000E-1	5.222350E-11
1.419600E+1	-3.210000E-1	5.325265E-11
1.429300E+1	-3.208000E-1	5.431875E-11
1.439100E+1	-3.206000E-1	5.655655E-11
1.448700E+1	-3.204000E-1	5.759625E-11
1.458300E+1	-3.202000E-1	5.764900E-11
1.468000E+1	-3.200000E-1	5.844070E-11
1.477600E+1	-3.198000E-1	5.900015E-11
1.487400E+1	-3.196000E-1	6.012430E-11
1.497100E+1	-3.194000E-1	6.010845E-11
1.506700E+1	-3.192000E-1	6.095290E-11
1.516300E+1	-3.190000E-1	6.153345E-11
1.526100E+1	-3.188000E-1	6.183430E-11
