V(V): -0.13	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A) 0.0171K
1.188600E+1	-1.790000E-3	-3.446400E-12
1.198300E+1	-1.780000E-3	-3.171950E-12
1.208000E+1	-1.770000E-3	-1.546400E-12
1.217700E+1	-1.760000E-3	-1.509450E-12
1.227300E+1	-1.750000E-3	-1.066100E-12
1.237100E+1	-1.740000E-3	-1.134700E-12
1.246900E+1	-1.730000E-3	-5.014000E-13
1.256600E+1	-1.720000E-3	-4.697000E-13
1.266400E+1	-1.710000E-3	-3.483500E-13
1.276100E+1	-1.700000E-3	-4.169500E-13
1.286100E+1	-1.690000E-3	-3.114000E-13
1.295800E+1	-1.680000E-3	-1.003000E-13
1.305500E+1	-1.670000E-3	-2.269500E-13
1.315300E+1	-1.660000E-3	-2.640000E-14
1.325200E+1	-1.650000E-3	-1.003000E-13
1.334900E+1	-1.640000E-3	-8.445000E-14
1.344800E+1	-1.630000E-3	8.970000E-14
1.354700E+1	-1.620000E-3	-6.335000E-14
1.364400E+1	-1.610000E-3	-2.586000E-13
1.374300E+1	-1.600000E-3	2.640000E-14
1.384200E+1	-1.590000E-3	-2.058500E-13
1.393800E+1	-1.580000E-3	9.500000E-14
1.403400E+1	-1.570000E-3	1.055000E-14
1.413200E+1	-1.560000E-3	-2.375000E-13
1.422900E+1	-1.550000E-3	-2.586000E-13
1.432500E+1	-1.540000E-3	4.220000E-14
1.442300E+1	-1.530000E-3	-2.640000E-14
1.452100E+1	-1.520000E-3	-1.266500E-13
1.461700E+1	-1.510000E-3	1.953000E-13
1.471500E+1	-1.500000E-3	5.300000E-15
1.481400E+1	-1.490000E-3	-2.850000E-13
1.491100E+1	-1.480000E-3	8.970000E-14
1.500800E+1	-1.470000E-3	0.000000E+0
1.510500E+1	-1.460000E-3	-3.165000E-14
1.520200E+1	-1.450000E-3	3.695000E-14
1.530100E+1	-1.440000E-3	1.425000E-13
1.539800E+1	-1.430000E-3	2.744500E-13
1.549700E+1	-1.420000E-3	1.055500E-13
1.559300E+1	-1.410000E-3	-1.003000E-13
1.569000E+1	-1.400000E-3	-2.850000E-13
1.578700E+1	-1.390000E-3	1.214000E-13
1.588400E+1	-1.380000E-3	1.372000E-13
1.598200E+1	-1.370000E-3	3.166500E-13
1.607900E+1	-1.360000E-3	-5.280000E-14
1.617600E+1	-1.350000E-3	7.915000E-14
1.627200E+1	-1.340000E-3	6.860000E-14
1.637000E+1	-1.330000E-3	-8.445000E-14
1.646700E+1	-1.320000E-3	-2.005500E-13
1.656400E+1	-1.310000E-3	1.108500E-13
1.666300E+1	-1.300000E-3	3.483500E-13
1.676000E+1	-1.290000E-3	8.970000E-14
1.685800E+1	-1.280000E-3	2.164000E-13
1.695500E+1	-1.270000E-3	5.280000E-14
1.705300E+1	-1.260000E-3	2.480500E-13
1.715000E+1	-1.250000E-3	-3.695000E-14
1.724800E+1	-1.240000E-3	3.695000E-14
1.734600E+1	-1.230000E-3	2.322000E-13
1.744400E+1	-1.220000E-3	-2.111000E-13
1.754000E+1	-1.210000E-3	3.165000E-14
1.763600E+1	-1.200000E-3	2.269500E-13
1.773200E+1	-1.190000E-3	1.055000E-14
1.783000E+1	-1.180000E-3	-6.860000E-14
1.792800E+1	-1.170000E-3	4.750000E-14
1.802400E+1	-1.160000E-3	7.915000E-14
1.812200E+1	-1.150000E-3	-2.640000E-14
1.822100E+1	-1.140000E-3	2.269500E-13
1.831900E+1	-1.130000E-3	-1.108500E-13
1.841800E+1	-1.120000E-3	4.750000E-14
1.851700E+1	-1.110000E-3	6.860000E-14
1.861300E+1	-1.100000E-3	-5.280000E-14
1.871100E+1	-1.090000E-3	2.586000E-13
1.880900E+1	-1.080000E-3	8.445000E-14
1.890700E+1	-1.070000E-3	4.220000E-14
1.900300E+1	-1.060000E-3	-1.583500E-13
1.910000E+1	-1.050000E-3	8.970000E-14
1.919700E+1	-1.040000E-3	-8.445000E-14
1.929300E+1	-1.030000E-3	1.636000E-13
1.939100E+1	-1.020000E-3	4.591500E-13
1.948800E+1	-1.010000E-3	1.636000E-13
1.958800E+1	-1.000000E-3	2.639000E-13
1.968600E+1	-9.900001E-4	2.640000E-14
1.978500E+1	-9.800000E-4	2.480500E-13
1.988400E+1	-9.700001E-4	-8.445000E-14
1.998100E+1	-9.600000E-4	2.322000E-13
2.008000E+1	-9.500001E-4	7.915000E-14
2.017700E+1	-9.400001E-4	2.480500E-13
2.027200E+1	-9.300000E-4	4.750000E-14
2.037100E+1	-9.200000E-4	4.380500E-13
2.047000E+1	-9.100001E-4	-2.691500E-13
2.056600E+1	-9.000000E-4	2.533500E-13
2.066300E+1	-8.900000E-4	3.008500E-13
2.076100E+1	-8.800001E-4	7.915000E-14
2.085800E+1	-8.700000E-4	1.478000E-13
2.095300E+1	-8.600000E-4	1.741500E-13
2.104900E+1	-8.500001E-4	2.005500E-13
2.114600E+1	-8.400001E-4	2.480500E-13
2.124400E+1	-8.300000E-4	6.335000E-14
2.134200E+1	-8.200001E-4	-2.111000E-13
2.144000E+1	-8.100001E-4	1.319500E-13
2.153700E+1	-8.000000E-4	2.005500E-13
2.163400E+1	-7.900001E-4	1.266500E-13
2.173100E+1	-7.800001E-4	2.480500E-13
2.182800E+1	-7.700000E-4	1.636000E-13
2.192400E+1	-7.600000E-4	1.055000E-14
2.202200E+1	-7.500001E-4	-1.794500E-13
2.212100E+1	-7.400000E-4	2.216500E-13
2.221900E+1	-7.300000E-4	2.322000E-13
2.231600E+1	-7.200001E-4	3.325000E-13
2.241200E+1	-7.100001E-4	5.753000E-13
2.250800E+1	-7.000000E-4	6.860000E-14
2.260500E+1	-6.900001E-4	1.266500E-13
2.270200E+1	-6.800001E-4	1.478000E-13
2.280000E+1	-6.700000E-4	1.161000E-13
2.290000E+1	-6.600001E-4	3.430500E-13
2.299700E+1	-6.500001E-4	7.915000E-14
2.309500E+1	-6.400000E-4	1.266500E-13
2.319200E+1	-6.300000E-4	-5.300000E-15
2.329200E+1	-6.200001E-4	7.390000E-14
2.338900E+1	-6.100000E-4	1.953000E-13
2.348500E+1	-6.000000E-4	1.055500E-13
2.358400E+1	-5.900001E-4	1.953000E-13
2.368100E+1	-5.800001E-4	2.216500E-13
2.377800E+1	-5.700000E-4	4.011000E-13
2.387300E+1	-5.600001E-4	2.111000E-13
2.396900E+1	-5.500001E-4	1.319500E-13
2.406500E+1	-5.400000E-4	3.272000E-13
2.416200E+1	-5.300001E-4	-2.903000E-13
2.425800E+1	-5.200001E-4	1.689000E-13
2.435800E+1	-5.100000E-4	5.594500E-13
2.445600E+1	-5.000001E-4	9.500000E-14
2.455200E+1	-4.900001E-4	7.390000E-14
2.465000E+1	-4.800000E-4	2.955500E-13
2.474800E+1	-4.700001E-4	3.536000E-13
2.484500E+1	-4.600001E-4	1.478000E-13
2.494200E+1	-4.500001E-4	1.319500E-13
2.503900E+1	-4.400001E-4	1.900000E-13
2.513600E+1	-4.300000E-4	3.325000E-13
2.523300E+1	-4.200001E-4	3.483500E-13
2.533000E+1	-4.100001E-4	2.428000E-13
2.542800E+1	-4.000000E-4	2.639000E-13
2.552500E+1	-3.900001E-4	1.478000E-13
2.562200E+1	-3.800001E-4	1.530500E-13
2.572000E+1	-3.700001E-4	2.480500E-13
2.581800E+1	-3.600001E-4	3.325000E-13
2.591400E+1	-3.500000E-4	2.111000E-13
2.601100E+1	-3.400001E-4	1.585000E-14
2.610700E+1	-3.300001E-4	3.114000E-13
2.620400E+1	-3.200001E-4	1.214000E-13
2.630300E+1	-3.100001E-4	2.428000E-13
2.640100E+1	-3.000001E-4	5.119500E-13
2.649700E+1	-2.900001E-4	3.165000E-14
2.659500E+1	-2.800001E-4	6.860000E-14
2.669300E+1	-2.700000E-4	2.164000E-13
2.679000E+1	-2.600001E-4	2.955500E-13
2.688800E+1	-2.500001E-4	1.055500E-13
2.698600E+1	-2.400001E-4	3.430500E-13
2.708300E+1	-2.300001E-4	4.591500E-13
2.718000E+1	-2.200001E-4	1.900000E-13
2.727700E+1	-2.100001E-4	1.689000E-13
2.737400E+1	-2.000001E-4	3.061000E-13
2.747200E+1	-1.900001E-4	-1.055500E-13
2.756900E+1	-1.800001E-4	2.480500E-13
2.766600E+1	-1.700001E-4	3.800000E-13
2.776400E+1	-1.600001E-4	-7.915000E-14
2.786000E+1	-1.500001E-4	3.272000E-13
2.795900E+1	-1.400001E-4	2.480500E-13
2.805500E+1	-1.300001E-4	2.639000E-13
2.815300E+1	-1.200001E-4	-6.860000E-14
2.825000E+1	-1.100001E-4	2.111000E-13
2.834800E+1	-1.000001E-4	1.372000E-13
2.844400E+1	-9.000007E-5	2.691500E-13
2.854000E+1	-8.000006E-5	2.375000E-13
2.863600E+1	-7.000007E-5	4.697000E-13
2.873200E+1	-6.000006E-5	2.797000E-13
2.882900E+1	-5.000006E-5	3.378000E-13
2.892600E+1	-4.000006E-5	1.689000E-13
2.902300E+1	-3.000007E-5	1.794500E-13
2.911900E+1	-2.000007E-5	3.589000E-13
2.921700E+1	-1.000007E-5	5.805500E-13
2.931500E+1	-6.705522E-11	2.375000E-13
2.941300E+1	9.999932E-6	1.319500E-13
2.951000E+1	1.999993E-5	1.741500E-13
2.960900E+1	2.999993E-5	1.530500E-13
2.970500E+1	3.999993E-5	2.533500E-13
2.980300E+1	4.999993E-5	3.747000E-13
2.990200E+1	5.999993E-5	4.591500E-13
2.999800E+1	6.999993E-5	2.164000E-13
3.009400E+1	7.999993E-5	2.586000E-13
3.019200E+1	8.999993E-5	3.536000E-13
3.029200E+1	9.999993E-5	-1.003000E-13
3.039000E+1	1.099999E-4	2.797000E-13
3.048800E+1	1.199999E-4	1.794500E-13
3.058300E+1	1.299999E-4	4.855500E-13
3.068100E+1	1.399999E-4	2.322000E-13
3.078100E+1	1.499999E-4	8.445000E-14
3.087700E+1	1.599999E-4	2.639000E-13
3.097500E+1	1.699999E-4	2.322000E-13
3.107200E+1	1.799999E-4	8.970000E-14
3.117000E+1	1.899999E-4	3.378000E-13
3.127000E+1	1.999999E-4	3.166500E-13
3.136600E+1	2.099999E-4	1.794500E-13
3.146500E+1	2.199999E-4	3.430500E-13
3.156300E+1	2.299999E-4	3.166500E-13
3.165900E+1	2.399999E-4	3.747000E-13
3.175800E+1	2.499999E-4	3.165000E-14
3.185600E+1	2.599999E-4	3.958500E-13
3.195200E+1	2.699999E-4	2.533500E-13
3.205000E+1	2.799999E-4	5.278000E-13
3.214700E+1	2.899999E-4	7.915000E-14
3.224300E+1	2.999999E-4	2.480500E-13
3.234100E+1	3.099999E-4	6.860000E-14
3.244100E+1	3.199999E-4	3.061000E-13
3.253800E+1	3.299999E-4	1.214000E-13
3.263500E+1	3.399999E-4	2.164000E-13
3.273200E+1	3.499999E-4	3.589000E-13
3.282900E+1	3.599999E-4	1.900000E-13
3.292600E+1	3.699999E-4	1.530500E-13
3.302200E+1	3.799999E-4	4.222000E-13
3.311900E+1	3.899999E-4	2.586000E-13
3.321800E+1	3.999999E-4	2.110000E-14
3.331600E+1	4.099999E-4	8.445000E-14
3.341400E+1	4.199999E-4	4.275000E-13
3.351100E+1	4.299999E-4	5.171999E-13
3.360800E+1	4.399999E-4	4.433500E-13
3.370400E+1	4.499999E-4	3.165000E-14
3.380300E+1	4.599999E-4	1.214000E-13
3.390100E+1	4.699999E-4	4.380500E-13
3.399700E+1	4.799999E-4	1.794500E-13
3.409300E+1	4.899999E-4	5.330499E-13
3.418900E+1	4.999999E-4	2.586000E-13
3.428700E+1	5.099999E-4	2.533500E-13
3.438500E+1	5.199999E-4	8.445000E-14
3.448300E+1	5.299999E-4	9.500000E-14
3.458300E+1	5.399999E-4	2.164000E-13
3.467900E+1	5.499999E-4	3.325000E-13
3.477500E+1	5.599999E-4	1.372000E-13
3.487300E+1	5.699999E-4	3.272000E-13
3.497000E+1	5.799999E-4	1.583500E-13
3.506800E+1	5.899999E-4	1.636000E-13
3.516600E+1	5.999999E-4	1.900000E-13
3.526300E+1	6.099999E-4	3.272000E-13
3.536100E+1	6.199999E-4	3.430500E-13
3.545900E+1	6.299999E-4	3.272000E-13
3.555600E+1	6.399999E-4	6.069500E-13
3.565300E+1	6.499999E-4	3.483500E-13
3.575200E+1	6.599999E-4	4.539000E-13
3.585000E+1	6.699999E-4	6.966500E-13
3.594700E+1	6.799999E-4	3.008500E-13
3.604400E+1	6.899999E-4	2.903000E-13
3.614200E+1	6.999999E-4	6.860999E-13
3.623900E+1	7.099999E-4	6.491500E-13
3.633600E+1	7.199999E-4	8.180500E-13
3.643300E+1	7.299999E-4	5.594500E-13
3.653200E+1	7.399999E-4	8.128000E-13
3.663000E+1	7.499999E-4	9.710999E-13
3.672800E+1	7.599999E-4	1.155850E-12
3.682600E+1	7.699999E-4	1.636100E-12
3.692400E+1	7.799999E-4	2.274700E-12
3.702100E+1	7.899999E-4	4.090250E-12
3.711800E+1	7.999999E-4	4.644450E-12
3.721400E+1	8.099999E-4	7.600000E-12
3.731300E+1	8.199999E-4	8.043300E-12
3.741200E+1	8.299999E-4	1.185385E-11
3.750900E+1	8.399999E-4	1.438190E-11
3.760700E+1	8.499999E-4	1.866745E-11
3.770500E+1	8.599999E-4	2.228800E-11
3.780300E+1	8.699999E-4	2.708020E-11
3.790000E+1	8.799999E-4	3.199380E-11
3.799900E+1	8.899999E-4	3.406795E-11
3.809600E+1	8.999999E-4	3.889715E-11
3.819200E+1	9.099999E-4	4.237515E-11
3.828900E+1	9.199999E-4	4.376850E-11
3.838600E+1	9.299999E-4	4.620155E-11
3.848200E+1	9.399999E-4	4.842350E-11
3.858100E+1	9.499999E-4	5.001210E-11
3.867800E+1	9.599999E-4	5.064545E-11
3.877400E+1	9.699999E-4	5.134735E-11
3.887100E+1	9.799999E-4	5.188570E-11
3.896900E+1	9.899999E-4	5.225515E-11
3.906600E+1	9.999999E-4	5.202295E-11
3.916200E+1	1.010000E-3	5.213375E-11
3.925800E+1	1.020000E-3	5.207570E-11
3.935500E+1	1.030000E-3	5.192265E-11
3.945200E+1	1.040000E-3	5.195430E-11
3.954800E+1	1.050000E-3	5.157430E-11
3.964600E+1	1.060000E-3	5.171155E-11
3.974400E+1	1.070000E-3	5.153735E-11
3.984100E+1	1.080000E-3	5.142125E-11
3.993800E+1	1.090000E-3	5.143710E-11
4.003700E+1	1.100000E-3	5.113625E-11
4.013400E+1	1.110000E-3	5.098850E-11
4.023200E+1	1.120000E-3	5.087765E-11
4.033100E+1	1.130000E-3	5.090930E-11
4.043000E+1	1.140000E-3	5.055045E-11
4.052600E+1	1.150000E-3	5.030765E-11
4.062300E+1	1.160000E-3	5.029710E-11
4.072000E+1	1.170000E-3	5.035515E-11
4.081900E+1	1.180000E-3	5.005430E-11
4.091600E+1	1.190000E-3	4.971125E-11
4.101200E+1	1.200000E-3	4.979570E-11
4.111100E+1	1.210000E-3	4.934710E-11
4.120900E+1	1.220000E-3	4.937350E-11
4.130700E+1	1.230000E-3	4.916765E-11
4.140300E+1	1.240000E-3	4.905155E-11
4.150100E+1	1.250000E-3	4.859765E-11
4.159900E+1	1.260000E-3	4.865045E-11
4.169700E+1	1.270000E-3	4.853960E-11
4.179400E+1	1.280000E-3	4.839710E-11
4.189200E+1	1.290000E-3	4.818600E-11
4.198800E+1	1.300000E-3	4.813320E-11
4.208500E+1	1.310000E-3	4.782710E-11
4.218400E+1	1.320000E-3	4.751570E-11
4.228200E+1	1.330000E-3	4.729405E-11
4.238100E+1	1.340000E-3	4.715155E-11
4.247800E+1	1.350000E-3	4.703015E-11
4.257500E+1	1.360000E-3	4.668710E-11
4.267200E+1	1.370000E-3	4.630710E-11
4.277000E+1	1.380000E-3	4.651820E-11
4.286900E+1	1.390000E-3	4.630710E-11
4.296600E+1	1.400000E-3	4.613295E-11
4.306200E+1	1.410000E-3	4.618570E-11
4.315900E+1	1.420000E-3	4.609600E-11
4.325500E+1	1.430000E-3	4.599570E-11
4.335500E+1	1.440000E-3	4.567380E-11
4.345200E+1	1.450000E-3	4.573710E-11
4.355000E+1	1.460000E-3	4.533070E-11
4.364800E+1	1.470000E-3	4.492960E-11
4.374600E+1	1.480000E-3	4.507210E-11
4.384200E+1	1.490000E-3	4.489265E-11
4.394000E+1	1.500000E-3	4.469740E-11
4.403600E+1	1.510000E-3	4.487685E-11
4.413200E+1	1.520000E-3	4.451265E-11
4.423000E+1	1.530000E-3	4.425405E-11
4.432800E+1	1.540000E-3	4.406935E-11
4.442400E+1	1.550000E-3	4.382655E-11
4.452200E+1	1.560000E-3	4.381600E-11
4.462000E+1	1.570000E-3	4.364710E-11
4.471700E+1	1.580000E-3	4.393210E-11
4.481600E+1	1.590000E-3	4.358905E-11
4.491300E+1	1.600000E-3	4.323545E-11
4.501200E+1	1.610000E-3	4.308240E-11
4.511000E+1	1.620000E-3	4.287130E-11
4.520800E+1	1.630000E-3	4.293460E-11
4.530400E+1	1.640000E-3	4.281850E-11
4.540300E+1	1.650000E-3	4.297155E-11
4.550100E+1	1.660000E-3	4.292935E-11
4.559900E+1	1.670000E-3	4.285545E-11
4.569600E+1	1.680000E-3	4.246490E-11
4.579300E+1	1.690000E-3	4.242795E-11
4.589200E+1	1.700000E-3	4.247015E-11
4.599000E+1	1.710000E-3	4.229075E-11
4.608700E+1	1.720000E-3	4.193185E-11
4.618300E+1	1.730000E-3	4.219045E-11
4.627900E+1	1.740000E-3	4.172075E-11
4.637600E+1	1.750000E-3	4.183685E-11
4.647300E+1	1.760000E-3	4.167850E-11
4.656900E+1	1.770000E-3	4.175765E-11
4.666600E+1	1.780000E-3	4.197405E-11
4.676500E+1	1.790000E-3	4.170490E-11
4.686200E+1	1.800000E-3	4.165740E-11
4.696000E+1	1.810000E-3	4.153600E-11
4.705600E+1	1.820000E-3	4.162575E-11
4.715200E+1	1.830000E-3	4.144630E-11
4.725000E+1	1.840000E-3	4.143045E-11
4.734800E+1	1.850000E-3	4.145155E-11
4.744400E+1	1.860000E-3	4.135655E-11
4.754200E+1	1.870000E-3	4.119825E-11
4.764100E+1	1.880000E-3	4.120880E-11
4.773800E+1	1.890000E-3	4.125630E-11
4.783500E+1	1.900000E-3	4.101350E-11
4.793100E+1	1.910000E-3	4.102935E-11
4.803000E+1	1.920000E-3	4.118240E-11
4.812600E+1	1.930000E-3	4.096075E-11
4.822300E+1	1.940000E-3	4.074435E-11
4.832200E+1	1.950000E-3	4.113490E-11
4.841900E+1	1.960000E-3	4.067575E-11
4.851700E+1	1.970000E-3	4.068630E-11
4.861500E+1	1.980000E-3	4.055960E-11
4.871300E+1	1.990000E-3	4.043295E-11
4.881000E+1	2.000000E-3	4.026935E-11
4.890800E+1	2.010000E-3	4.078130E-11
4.900600E+1	2.020000E-3	4.027990E-11
4.910500E+1	2.030000E-3	4.052795E-11
4.920300E+1	2.040000E-3	4.053850E-11
4.930200E+1	2.050000E-3	4.040655E-11
4.939800E+1	2.060000E-3	4.070740E-11
4.949400E+1	2.070000E-3	4.034850E-11
4.959200E+1	2.080000E-3	4.022710E-11
4.968800E+1	2.090000E-3	3.996325E-11
4.978500E+1	2.100000E-3	4.025880E-11
4.988300E+1	2.110000E-3	4.019545E-11
